Tenía curiosidad sobre algo y espero que mi pregunta no sea demasiado atrevida.;I was curious about something and I hope my question, well, is not too bold.
Hacía eso. Preparaba algo para evitar o escapar de esa tentación que estaba experimentando en ese momento.;I did that. I would prepare something to avoid or escape from that temptation that I was experiencing at that moment.
En todo, siempre estaba atenta a lo que no debía hacer y a lo que haría para evitarlo.;In everything, I was always mindful of what not to do and what I would do to avoid it.
O también, si iba a enojarme con alguien, dejar de hablarle o buscar venganza porque me hizo esto o aquello.;Or likewise, if I were going to get upset with someone, stop talking to them, or seek revenge because they did this to me, because they did that to me.
Me preguntaba: ¿vale la pena? Creo que no vale la pena. No vale la pena que me enoje. No gano nada.;I would say, 'Is it worth it?' I believe it is not worth it. It's not worth it for me to get upset. I gain nothing.
Pierdo porque entonces no puedo hablarles. Pierdo porque entonces no puedo dirigirme a ellos.;I lose because then I can't talk to them. I lose because then I can't address them.
Necesito enseñar y guiar, pero no puedo porque estoy enojada.;I need to teach and lead, but I can't because I'm upset.
Entonces creo que no vale la pena. Es mejor humillarme y cambiar, y ya. Y todo pasará.;So, I believe it is not worth it. It's better to humble myself and change, and that's it. And everything will pass.
Entonces el diablo dice: te humillas. Siempre me he humillado tantas veces como ha sido necesario.;Then the devil says, 'You humble yourself.' I have always humbled myself as many times as needed.
Me humillo, y ya, y cambio, y lo suelto, y paso por alto las cosas porque digo que debemos agradar a Dios, Y TENGO PACIENCIA.;I humble myself, and that's it, and I change, and I let it go, and I overlook things because I say we must please God, AND I HAVE PATIENCE.
ESA ES LA REFLEXIÓN. ESA ES LA REFLEXIÓN.;THAT IS THE REFLECTION. THAT IS THE REFLECTION.
Y lo mismo aplica para superar el orgullo, para superar la envidia, para superar todo. Igual.;And the same goes for overcoming pride, for overcoming envy, for overcoming everything. Just the same.
¿Vale la pena sentir eso? ¿Vale la pena para mí sentir o guardar rencor porque me duele, porque me ofendió, porque me hirió?;Is it worth feeling that? Is it worth it for me to feel or be resentful because it hurts me, because it offended me, because it hurt me?
¿Vale la pena? No vale la pena. ¿Quién pierde? ¿Él o yo? ¿Ella o yo? Pues ellos pierden.;Is it worth it? It's not worth it. Who loses? Him or me? Her or me? Well, they lose.
Yo soy quien gana porque tendré paciencia, y actúo como si nada hubiera pasado, y paso por alto todo y sigo adelante.;I am the one who gains because I will have patience, and I act as if nothing happened, as if nothing has happened, and I overlook everything and press on.
Esa es mi reflexión continua y constante. Y Dios ciertamente me ha ayudado mucho a cambiar, a cambiar mi corazón, mi manera de pensar.;That is my continuous constant reflection. And God has surely helped me a lot to change, to change my heart, my way of thinking.
Y de esa manera, porque he visto el triunfo en el Señor al someterme a todo eso, sí, veo que realmente vale la pena.;And in that way, because I have seen triumph in the Lord by submitting to all that, yes, I see that it is indeed worth it.
Hay personas que dicen: no, ¿por qué debo humillarme? No, ¿por qué debo hacerlo? Porque cómo es que él me hizo eso.;There are people who say, 'No, why should I humble myself? No, why should I? Because how come he did that to me?'
Y ahora tengo que perdonarle. No, no le perdonaré. Pero yo perdonaré y me humillaré.;And now I have to forgive him. No, I won't forgive him. But I will forgive and I will humble myself.
Así que aunque la otra persona me haga mal, iré y pediré perdón. No espero a que la otra persona me pida perdón.;So, even if the other person wrongs me, I will go and ask for forgiveness. So, I do not wait for the other person to ask me for forgiveness.
Soy yo quien irá a pedir perdón por lo que me hicieron. Entonces, hermanos y hermanas, esa es la reflexión.;It is I who will go to ask for forgiveness for what they did to me. So, brothers and sisters, that is the reflection.
Siempre lean la Biblia para aprender. Y dice, la Biblia dice en un proverbio: la respuesta suave aparta la ira.;Always read the Bible to learn. And it says, the Bible says in a proverb, 'A soft answer turns away wrath.'
Y siempre lo llevo conmigo. Cuando algo sucede, entonces digo: no. ¿Vale la pena la disputa para entrar en un conflicto ahora en una discusión?;And I always keep that with me. When something happens, then I say, 'No. Is it worth the dispute to enter a conflict now in a discussion?'
¿Me ofende? ¿Debo ofender de vuelta? No, una respuesta suave aparta la ira.;Does it offend me? Should I offend back? No, a soft answer turns away wrath.
Oh, sí, sí, sí, sí, tienes toda la razón. Lo que dices es correcto. Sí, sí, hubo un error de mi parte. Hubo un error de mi parte.;Oh, yes, yes, yes, yes, you are absolutely right. What you are saying is correct. Yes, yes, yes, there was a mistake on my part. There was an error on my part.
Una respuesta suave. Entonces la otra persona dice: oh, eso es lo que quería, que se humillaran, que se sometieran.;A soft answer. So, the other person says, 'Oh, that's what I wanted for them to humble themselves, to submit.'
Que me digan que sí tengo razón, que todo lo que hago es bueno y todo lo que digo es agradable.;To tell me that yes, I am right, that everything I do is good and everything I say is nice.
Es eso, hermanos y hermanas, siempre es mejor dar. Es mejor dar que recibir. Eso es todo. ¿De acuerdo? Continuemos.;It's that, brothers and sisters, it is always better to give. It is better to give than to receive. That's it. All right? Let's continue.
