Voy a leer en el capítulo 1 de Reyes capítulo 4 verso 29.;I am going to read in 1st Kings chapter 4 verse 29.
No, es mío. El niño es mío. Salomón sintió el dolor de la verdadera madre porque su corazón era así.;'No, he's mine.' 'The child is mine.' Solomon felt the pain of the true mother because his heart was like that.
Él sintió el dolor de la verdadera madre y Dios le dio la sabiduría en ese momento para juzgar para decir,;He felt the pain of the true mother and God gave him the wisdom at that moment to judge to say,
No, el niño debe dividirse en la mitad para que cada uno pueda tener la mitad. Así que Dios le mostró;'No, the child must be divided in half so that each one can have a half.' So, God showed him
y le dijo: "La verdadera madre dirá que no.;and said to him, 'The true mother will say no.
Dale a la otra mujer, pero déjale vivir porque ella es la verdadera;Give him to the other woman, but let him live because she is the true one.'
Así que, ese era su corazón para hacer las cosas bien para que la gente fuera feliz.;So, that was his heart to do things right so that people would be happy.
Por eso muchos lo visitaron y escucharon su sabiduría.;That's why many visited him and listened to his wisdom.
Leemos Proverbios, Eclesiastés, la Canción de Salomón. Todos estos fueron escritos por Salomón porque Dios estaba con él.;We read Proverbs, Ecclesiastes, the Song of Solomon. All of these were written by Solomon because God was with him.
¿Qué vemos en Proverbs? Todo lo que observó en la vida, la vida diaria de las personas, su bien;So, what do we see in Proverbs? Everything he observed in life, the daily lives of people, their good
y malas acciones, lo que estaba pasando, lo que iba a pasar,;and bad actions, what was happening, what was going to happen,
y lo que no tenía solución. No ofreció soluciones. Simplemente describió el comportamiento humano.;and what had no solution. He didn't offer solutions. He simply described human behavior.
El tonto hace las cosas así y eso es todo.;The foolish man does things this way and that's it.
El sabio lo hace así. El hombre prudente actúa así.;The wise man does it this way. The prudent man acts like this.
Eso es lo que mostró al mundo, un reflejo de la realidad que vivía la gente.;That's what he showed the world, a reflection of the reality people lived.
Así que, su gran corazón, esa grandeza del corazón de Salomón estaba en ese aspecto, no sólo en el conocimiento,;So, his great heart, that largeness of Solomon's heart was in that aspect, not only in knowledge,
pero también en sus acciones y sus sentimientos hacia el pueblo;but also in his actions and his feelings towards the people
y prudencia. Bueno, sabemos que la prudencia significa no actuar o hablar descuidadamente.;and prudence. Well, we know that prudence means not acting or speaking carelessly.
Debemos pensar antes de hablar, pensar antes de actuar,;We must think before we speak, think before we act,
y considerar cuidadosamente nuestras decisiones, analizar a fondo y evitar acciones que podrían causar problemas o dificultades más adelante.;and carefully consider our decisions, analyze thoroughly, and avoid actions that could cause problems or difficulties later on.
Si uno es imprudente, podrían hacer un mal trato, ofender a alguien, o incluso dañar la vida espiritual de otra persona.;If one is imprudent, they might make a bad deal, offend someone, or even harm another person's spiritual life.
La prudencia se trata de analizar, pensar y razonar antes de actuar o hablar.;Prudence is about analyzing, thinking, and reasoning before acting or speaking.
Implica muchas cosas, pero lo más importante es pensar primero.;It involves many things, but the most important is to think first.
No actúes descuidadamente. Considere las consecuencias. ¿Qué podría pasar si dices o haces algo?;Don't act carelessly. Consider the consequences. What might happen if you say or do something?
Eso es lo que es la prudencia. Y Dios le dio eso a Salomón.;That is what prudence truly is. And God gave that to Solomon.
Y Dios quiere darnos todas estas virtudes y cualidades en su camino de hoy.;And God wants to give us all these virtues and qualities on his path today.
Por eso se llaman los frutos del espíritu. El Espíritu Santo nos dará estas cualidades,;That's why they're called the fruits of the spirit. The Holy Spirit will give us these qualities,
estas virtudes para que tengamos esa prudencia, esa sabiduría, ese conocimiento, ese amor, esa misericordia y generosidad.;these virtues so that we may have that prudence, that wisdom, that knowledge, that love, that mercy and generosity.
El Señor nos da todo esto también hoy.;The Lord gives all of this to us today as well.
Así que, hoy no es sólo un rey como en el tiempo de Salomón que era el único Dios dotado de todas estas capacidades,;So, today it's not just a king like in Solomon's time who was the only one God endowed with all these capabilities,
pero hoy el Señor nos dice a todos nosotros: "Todo el mundo tiene derecho a recibir";but today the Lord says to all of us, 'Everyone has the right to receive.'
Gracias al Señor que nos da todas estas hermosas;Thanks to the Lord that he gives us all these beautiful
y cosas maravillosas porque todo esto es lo que el mundo admira de nosotros.;and wonderful things because all of this is what the world admires about us.
