Tengo una pregunta en la Biblia, si me permitís, hermana, en el Evangelio según Juan,;I have one question in the Bible, if you would allow me, sister, in The Gospel according to John,
Pero tengamos en cuenta que ese Divino Pastor, cuando sus hijos son rebeldes;But let us keep in mind that that Divine Shepherd, when his children are rebellious
y tontos, también vemos la Vara de Dios. También vemos que el Señor permite pruebas difíciles porque no hemos estado viviendo justamente ante el Señor;and foolish, we also see God's Rod. We also see that the Lord allows difficult trials because we have not been living righteously before the Lord
y porque no nos hemos corregido en ciertas cosas. Así que el Señor permite las pruebas.;and because we haven't corrected ourselves in certain things. So the Lord allows trials.
Nos quita del lugar, o nos quita nuestro apoyo,;He removes us from the place, or he takes away our support,
y esa es nuestra lucha como ovejas que somos.;and that is our fight as the sheep that we are.
Luchamos para caminar con justicia. Pero ves que el trabajo de un pastor es muy difícil;We fight to walk righteously. But you see that the job of a pastor is very difficult
y muy grande, y cuando el pastor tiene a Dios en su corazón,;and very great, and when the pastor has God in his heart,
y él ama a sus ovejas, él trabaja como el Señor Jesucristo hace con su iglesia,;and he loves his sheep, he works just as the Lord Jesus Christ does with his church,
y eso es lo que queremos, y ahí es donde todos queremos ser, para ser buenos pastores,;and that is what we want, and that is where we all want to be, to become good Shepherds,
y él da su vida a sus ovejas significa que usted presiona.;and he gives his life to his sheep means that you press on.
Encuentras diferentes dificultades, encuentras peligros. Vamos a encontrar muchos peligros de esta manera,;You find different difficulties, you find dangers. We are going to find many dangers in this way,
pero seguimos presionando, y no nos importa ese peligro porque Dios nos ayudará a continuar.;but we continue to press on, and we do not care about that danger because God will help us to continue.
Pero debemos continuar y no regresar. Por lo tanto,;But we ought to continue and not turn back. Therefore,
allí se cumple de cierta manera cuando dice que el Buen Pastor da su vida por la Oveja,;there it is fulfilled in a certain way when he says that the Good Shepherd gives his life for the Sheep,
porque cuando se enfrentan a dificultades amenazas el pastor necesita ser firme en el Señor y continuar su trabajo;because when they confront difficulties dangers threats the shepherd needs to be steadfast in the Lord and continue his work
y orar al Señor y pedirle al Señor que resuelva ese problema extraño.;and to pray to the Lord and ask the Lord to solve that problem foreign.
