Hermana, quería hacerte una pregunta del libro de la Revelación, capítulo 2.;Sister, I wanted to ask you a question from the book of the Revelation, chapter 2.
cada vez que encuentran a alguien que dicen saludos a Marie Louisa o saludos a la Hermana Marley,;each time that they find someone they say greetings to Marie Louisa or greetings to Sister Marley's,
y a veces dicen hermana cómo es que quiero hablar con ella;and sometimes they say sister how is she I want to speak to her
y ahora soy importante más importante que ellos, así es como me ven,;and now I am important more important than they are, that is how they view me,
gloria sea para el Señor. Y así aquí la promesa que Dios hizo a Juan que necesitaba ser predicado porque esto era algo que iba a suceder,;glory be to the Lord. And so here the promise that God made John that needed to be preached because this was something that was going to happen,
el Señor dice aquí como dije el que vence;the Lord says here as I said he who overcomes
y mantiene mis obras hasta el final, ¿qué significa eso;and keeps my works until the end, what does that mean, the end brothers
y hermanas nuestra muerte hasta nuestra muerte. Así que dice que daré poder, así que debemos perseverar,;and sisters our death until our death. So it says I will give power, so we ought to persevere,
perseverar en la forma de presionar. De esta manera no debemos sentirnos desalentados,;persevere in the way of pressing on. In this way we must not feel discouraged,
no debemos en la primera prueba o dificultad que llega a nuestras vidas para que seamos desalentados;we must not in the first test or difficulty that arrives in our lives for us to be discouraged
y retroceded, perdí mi tiempo. Debemos seguir adelante hasta alcanzar nuestro objetivo,;and turn back I wasted my time. We ought to press on until we reach our goal,
y nuestro objetivo es el día de nuestra muerte. Y dice en el versículo 27: Así dice la bendición:,;and our goal is the day of our death. And it says in verse 27, So the blessing, it says,
los gobernará con vara de hierro. Serán derribados a Pieces,;shall rule them with a rod of iron. They shall be dashed to Pieces,
para que la autoridad que Dios da a sus creyentes o la Iglesia del Señor Jesucristo,;so that Authority that God gives his Believers or the Church of the Lord Jesus Christ,
dice que los gobernará con vara de hierro. Serán arrojados a Pieces.;it says he shall rule them with a rod of iron. They shall be dashed to Pieces.
Sí, porque cuando dice gobernarlos con una vara de hierro,;Yes, because when it says rule them with a rod of iron,
serán destrozados en pedazos como los vasos del alfarero.;they shall be dashed to pieces like the potter's vessels.
Ese es el poder que Dios va a dar a sus hijos cuando Milagros. y obras;That's the power that God is going to give his children when Miracles. and works
y las maravillas ocurren que es donde se cumple serán destrozadas en pedazos como los vasos de El Cantante como también he recibido de mi padre.;and wonders occur that is where it is fulfilled they shall be dashed to pieces like The Potter's vessels as I also have received from my father.
Este es el Señor Jesucristo que he recibido de mi padre hasta hoy vemos que la palabra del Señor descompone el alma de la persona Y cambios;This is the Lord Jesus Christ I have received from my father to this day we see that the word of the Lord breaks down the person's soul And changes
y se transforma, y también dice aquí que la otra promesa está aparte de dar poder,;and transforms, and it also says here that the other promise is apart from giving power,
aparte de dar ese poder para romper todo lo que es malo,;apart from giving that power to break down all that is bad,
dice que le daré la Estrella de la Mañana. La Estrella de la Mañana es el Señor Jesucristo,;he says I will give him the Morning Star. The Morning Star is the Lord Jesus Christ,
el señor mismo estará con nosotros morando en nuestros corazones, esa es la Estrella de la Mañana,;the lord himself will be with us abiding in our hearts, that is the Morning Star,
y él dice que el que tiene un oído espiritual y entiende le permite entenderlo porque esto es espiritual,;and he says he who has a spiritual ear and understands let him understand it because this is spiritual,
esta es la doctrina que se entiende sólo en un sentido espiritual.;this is doctrine that is understood only in a spiritual sense.
La persona espiritual entenderá, el que no es entenderá, Por eso dijo:,;The spiritual person will understand, he who is not will not understand, That is why he said,
el que tiene oído, eso significa el que ha preparado o buscando,;he who has an ear, that means he who has prepared or seeking,
queriendo presionar en el camino del Señor, comprenderán todas estas cosas,;wanting to press on in the Lord's way, they will understand all of these things,
porque esto es para los sabios. y los conocedores, los que buscan al Señor,;because this is for the wise. and the knowledgeable, those who seek the Lord,
estas son promesas maravillosas que Dios nos está haciendo y que hoy estamos disfrutando sólo un poco de todas estas promesas.;these are marvelous promises that God is making us and that we today are enjoying just a bit of of all of these promises.
Gracias.;Thank you.
