Gálatas 6:1 dice, hermanos, que si alguno es vencido en pecado,;Galatians 6:1 says, brethren, if a man is overtaken in any trespass,
Esos espíritus son los que trabajan en la gente, y por eso ocurren estos malentendidos.;Those spirits are the ones that work in people, and that is why these misunderstandings happen.
Si los maestros, como este hermano mencionó, o los líderes o los pastores tenían ese don perfecto del discernimiento,;If the teachers, as this brother mentioned, or the leaders or the pastors had that perfect gift of discernment,
tales problemas no existirían en la congregación porque ellos sabrían cómo manejar bien el tema.;such problems would not exist in the congregation because they would know how to handle the issue well.
Ellos descubrirían que la persona tiene espíritus malignos, y en lugar de prestar atención a ella,;They would discover that the person has evil spirits, and instead of paying attention to it,
llamarían a la persona, les aconsejarían, les guiarían con cuidado, bondad y amor,;they would call the person, advise them, guide them with care, kindness, and love,
y poner las manos sobre ellos para que la persona sea liberada.;and lay hands on them so that the person is set free.
Pero como no hay discernimiento, podría pensar que estoy tratando con una persona normal,;But since there is no discernment, I might think I am dealing with a normal person,
y los trato duro. La persona se enoja y se vuelve más rebelde,;and I treat them harshly. The person gets upset and becomes more rebellious,
y eso empeora el problema. Pero si descubro que son los espíritus, entonces los dirijo de manera diferente.;and that makes the problem worse. But if I discover that it is the spirits, then I address them differently.
Yo digo: 'Ten cuidado. Quédate en silencio. No digas nada. Ven aquí.;I say, 'Be careful. Stay silent. Don't say anything. Come here.
Déjame ponerte manos sobre ti porque tienes vínculos espirituales.;Let me lay hands on you because you have spiritual bonds.
Hay espíritus. Entonces la persona se calmará, y será ayudado mucho,;There are spirits.' Then the person will calm down, and will be helped a great deal,
y se evitarán los conflictos. Así que les decimos a hermanos y hermanas:,;and conflicts will be avoided. So, we tell brothers and sisters,
no preste atención a tal persona que tiene espíritus malignos.;don't pay attention to such a person who has evil spirits.
En su lugar, tengan consideración por ellos, oren por ellos, pongan manos sobre ellos durante la adoración,;Instead, have consideration for them, pray for them, lay hands on them during worship,
y no les pagues ninguna mente porque no están realmente bien. Hay espíritus que los controlan,;and don't pay them any mind because they are not truly well. There are spirits controlling them,
y eso es lo que causa estos problemas, estos delitos, y por eso te sientes ofendido.;and that is what causes these issues, these offenses, and that is why you feel offended.
No es la persona, son los espíritus. Esto es lo que ocurre siempre en las congregaciones con muchos conflictos;It is not the person, it is the spirits. This is what always happens in congregations with many conflicts
y problemas. Me escriben, nos envían correos electrónicos, mandamos a alguien a donde ocurren problemas,;and problems. They write to me, they send us emails, we send someone to where problems are occurring,
y cuando llegamos, encontramos que de hecho las cuestiones involucran a los espíritus en las personas.;and when we arrive, we find that indeed the issues involve spirits in people.
Y eso es lo que causa la contención. Entonces, inteligencia, sabiduría,;And that is what causes the contention. So, intelligence, wisdom,
y el discernimiento son necesarios junto con manejar las cosas con amor;and discernment are needed along with handling things with love
y compasión para evitar que estas cosas sucedan. Aunque hay casos muy fuertes.;and compassion to prevent these things from happening. Although there are very strong cases.
Recuerdo como testimonio, había tres hermanas en una iglesia que practicaban la metafísica, las prácticas metafísicas, el yoga,;I recall as a testimony, there were three sisters in a church who were practicing metaphysics, metaphysical practices, yoga,
leer muchos libros, y creer en muchas cosas. Llegaron a la iglesia queriendo imponer lo que practicaban en los hermanos;reading lots of books, and believing in many things. They came to the church wanting to impose what they practiced on the brothers
y hermanas, viniendo a ellos y diciéndoles: 'No, tienes que hacerlo de esta manera.;and sisters, coming up to them and telling them, 'No, you have to do it this way.
Tienes que creer en esto y eso." Se volvieron muy rebeldes.;You have to believe in this and that.' They became very rebellious.
El pastor amonestó a las tres hermanas diciendo: Hermanas, ¿por qué vienes a enseñar cosas que practicas en otro lugar que no es de Dios?;The pastor admonished the three sisters saying, 'Sisters, why do you come to teach things that you practice elsewhere that is not from God?
'Pero ellos responderían, 'Sí, es de Dios porque él me lo reveló.;' But they would respond, 'Yes, it is from God because he revealed it to me.
Me dio visiones, me dio sueños, y me reveló que es verdad que debemos practicarlo,;He gave me visions, he gave me dreams, and he revealed to me that it is true that we must practice it,
y que no debemos llamar a Dios por el nombre de Dios, sino por otro nombre, un nombre hebreo;and that we should not call God by the name God, but by another name, a Hebrew name.'
No obedecieron al predicador. Hola.;They did not obey the preacher. Hey.
