Hermana, personalmente, me gustaría decirte que amo mucho todo lo relacionado con el Señor.;Sister, personally, I would like to tell you that I love everything related to the Lord very much.
Nunca he votado por nadie. Y cuando el Señor comenzó a hablar con nosotros;I never cast a vote for anyone. And when the Lord began to speak to us
y comenzó a mostrar y revelar que quería que trabajemos en la esfera política, en el campo político,;and began to show and reveal that he wanted us to work in the political sphere, in the political field,
que teníamos que trabajar, que teníamos que involucrarnos en este papel porque Dios quería demostrar honestidad a la gente,;that we had to work, that we had to get involved in this role because God wanted to demonstrate honesty to people,
al menos en este país para demostrar que hay personas honestas que trabajan con amor por los demás.;at least in this country to show that there are honest people who work with love for others.
Esto es lo que Dios nos enseñó. Nos dio directrices.;This is what God has taught us. He gave us guidelines.
Nos ha enseñado y sigue enseñando. Así que, incluso sin buscarlo o estar involucrado en estos asuntos,;He has taught us and continues to teach us. So, even without seeking it or being involved in these matters,
el Señor nos puso en ellos. Y por obediencia, presionamos;the Lord placed us in them. And out of obedience, we press on
y trabajar diligentemente. Y realmente hemos visto resultados porque los otros líderes o los otros partidos políticos han notado cómo nosotros,;and work diligently. And we have truly seen results because the other leaders or the other political parties have noticed how we,
nuestro partido, son personas responsables, serias, honestas que no están en él por el dinero,;our party, are responsible, serious, honest people who are not in it for the money,
que no están allí para sobornar o ser sobornado, sino para hacer cosas que son legales,;who are not there to bribe or to be bribed, but rather to do things that are legal,
eso es justo. Y así, la gente ve este ejemplo. Y esto es lo que Dios quiere.;that are fair. And so, people see this example. And this is what God wants.
Dios no quiere que la gente se convierta en alguien que alcanza una posición muy alta sólo para ganar millones;God does not want people to become someone who reaches a very high position just to earn millions
y millones. No, eso no es lo que Dios quiere. Dios quiere mostrar honestidad;and millions. No, that is not what God wants. God wants to show honesty
e integridad en seres humanos, mostrando que estas cualidades existen en el campo político.;and integrity in human beings, showing that these qualities do exist in the political field.
Eso es lo que Dios quiere mostrar. Aquí en la iglesia,;That is what God wants to show. Here in the church,
personas de todas las formas de vida vienen con todo tipo de creencias y como partidarios de cualquier partido político.;people from all walks of life come with all kinds of beliefs and as supporters of any political party.
Muchos vienen buscando solamente profecía o bendiciones de Dios sin prestar atención a la doctrina o a lo que Dios enseña.;Many come seeking only prophecy or God's blessings without paying attention to the doctrine or to what God teaches.
Y cuando Dios habla, enseña o da instrucciones, a menudo ignoran la llamada a obedecerle.;And when God speaks, teaches, or gives instructions, they often ignore the call to obey him.
Pero sabemos que debemos obedecer a Dios y tratar de complacerlo.;But we know we must obey God and seek to please him.
Aunque no me guste, quiero complacer a Dios;Even if I don't like it, I want to please God
y me involucro y lo hago, Señor, porque lo has dicho.;and I get involved and I do it, Lord, because you have said it.
Ya que lo dijiste, lo haré, Señor, aunque no esté de acuerdo, aunque no me guste,;Since you said it, I will do it, Lord, even if I don't agree, even if I don't like it,
porque veo que la gente miente, la gente promete y dice muchas mentiras.;because I see that people lie, people promise, and tell many lies.
Pero, Señor, como usted lo dijo, apoyaré eso.;But, Lord, as you said it, I will support that.
Es tu palabra. Si todos los creyentes pensaran así;It is your word. If all believers thought this way
y lo entendieron así, recibirían beneficios y bendiciones de Dios en muchos aspectos de sus vidas.;and understood it this way, they would receive benefits and God's blessings in many aspects of their lives.
Pero debido a la negligencia, como hay negligencia en muchos, dicen: 'No, no, no, no, voy a ir con el Sr.;But because of negligence, as there is negligence in many, they say, 'No, no, no, I'm I'm going with Mr.
Así y... Siempre he estado con So-and-so. Siempre he estado con la fiesta púrpura, con la fiesta blanca,;So-and-so. I've always been with So-and-so. I've always been with the purple party, with the white party,
y eso es todo, y no me cambiarán de eso;and that's it, and they won't change me from that.'
Y luego vienen a la iglesia, 'Oh, no, quiero profecía porque quiero que Dios me sane,;And then they come to the church, 'Oh, no, I want prophecy because I want God to heal me,
bendíceme, hazme promesas, dame regalos. Pero resulta que Dios quiere que ayuden;bless me, make promises to me, give me gifts.' But it turns out that God wants them to help
y apoyar a la fiesta. Así que dicen: 'No, no yo,;and support the party. So they say, 'No, not me,
porque estoy con la fiesta blanca o estoy con la fiesta púrpura. Así que Dios está viendo eso en la persona.;because I'm with the white party or I'm with the purple party.' So God is watching that in the person.
Y Dios no les da sus bendiciones porque son obstinados, rebeldes, incrédulos, o tal vez duros de corazón.;And God does not give them his blessings because they are stubborn, rebellious, unbelieving, or perhaps hard-hearted.
Y por eso tú, hermana, ves lo que ves en la puerta.;And that is why you, sister, see what you see at the door.
Eso es lo que ves en la puerta. Así que no te preocupes.;That is what you see at the door. So do not worry.
No sufras ni te sientas frustrado por ello porque es Dios quien trae las cosas a pasar al final.;Do not suffer or feel frustrated about it because it is God who brings things to pass in the end.
Dios es el que establece su voluntad. Él establece su voluntad.;God is the one who establishes his will. He establishes his will.
Si Dios quiere que ganen, bueno, él les permite ganar.;If God wants them to win, well, he allows them to win.
Y si Dios quiere algo diferente diciendo que no en este momento no voy a permitirles ganar,;And if God wants something different saying no at this moment I am not going to allow them to win,
permanece estancado. Bueno, ellos permanecerán estancados, pero la voluntad de Dios está hecha.;remain stagnant. Well, they will remain stagnant, but God's will is done.
Pero lo más hermoso y maravilloso es que obedecemos;But the most beautiful and wonderful thing is that we obey
y siempre nos alineamos con Dios con complacer a Dios. Señor, si esto es por tu gusto,;and always align ourselves with God with pleasing God. Lord, if this is to your liking,
si usted fuera el que ordenó que esta fiesta comenzara, entonces Señor, yo la apoyaré con mi voto.;if you were the one who commanded this party to start, then Lord, I will support it with my vote.
Porque lo dijiste, Señor. Es tan simple como eso.;Because you said it, Lord. It is as simple as that.
Así que Dios estará complacido y dirá: "Esta persona está siendo obediente en las pequeñas cosas.;So, God will be pleased and he will say, 'This person is being obedient in the small things.
Entonces, ellos también serán obedientes en las grandes cosas;So, they will also be obedient in the big things
y los bendeciré mucho." Por lo tanto, hermanos y hermanas, no se preocupen.;and I will bless them greatly.' Therefore, brothers and sisters, do not worry.
Es Dios quien tiene la última palabra. Pero debemos aprender que cuando Dios habla;It is God who has the final say. But we must learn that when God speaks
y cuando da órdenes, debemos seguirlas a la carta.;and when he gives orders, we must follow them to the letter.
Necesitamos alinearnos con el Señor si queremos tener éxito en nuestro espíritu;We need to align ourselves with the Lord if we want to succeed in our spiritual
y vidas materiales. Eso es, hermanos y hermanas.;and material lives. That is it, brothers and sisters.
