Esta noche vamos a aprovechar bien el tiempo y a reflexionar sobre la palabra del Señor.;This evening we are going to take full advantage of the time and reflect upon the word of the Lord.
Lo más triste es que celebran al diablo, y la celebración del diablo es el 31 de octubre, Halloween.;The saddest part is that they celebrate the devil, and the celebration of the devil is October 31st, Halloween.
Ese día, los que pertenecen a cultos satánicos se preparan para celebrar y ofrecer sacrificios al diablo.;On that day, those who belong to satanic cults are prepared to celebrate and offer sacrifices to the devil.
Es muy triste que personas que no pertenecen a un culto satánico también participen en esa celebración con sus hijos.;It is very sad that people who do not belong to a satanic cult also participate in that celebration with their children.
Los niños, siendo inocentes, se dejan deslumbrar por dulces, disfraces o juguetes, sin saber lo que hay detrás.;Children, being innocent, let themselves be amazed by candy, costumes, or toys, without knowing what is behind all of that.
Detrás de todo eso, el diablo trabaja para empobrecer la vida espiritual del adulto y del niño, y arruinar su paz y felicidad.;Behind all of that, the devil works to impoverish the spiritual life of the adult and the child, and to ruin their peace and happiness.
En los cultos satánicos usan arañas, murciélagos, búhos, serpientes y gatos negros para ofrecer sus sacrificios en honor al diablo.;In satanic cults they use spiders, bats, owls, serpents, and black cats to carry out their sacrifices in honor of the devil.
En muchos países roban bebés recién nacidos y los sacrifican para ofrecer su sangre al diablo el 31 de octubre.;In many countries they steal newborn babies and sacrifice them to offer their blood to the devil on October 31st.
Debemos conocer la palabra de Dios para que los adultos no crean ni practiquen esas cosas, y para enseñar a los niños que esto está mal.;We must know God's word so that adults do not believe or practice those things, and to teach children that this is wrong.
Abramos nuestras Biblias en Deuteronomio 4:19. Dios habló a Moisés en el monte Horeb y le dio las leyes.;Let us open our Bibles in Deuteronomy 4:19. God spoke to Moses on Mount Horeb and gave him the laws.
En el versículo 15 dice: cuídate mucho, porque no viste ninguna figura cuando el Señor te habló en Horeb en medio del fuego.;In verse 15 it says: take careful heed to yourselves, for you saw no form when the Lord spoke to you at Horeb out of the midst of the fire.
Moisés estuvo 40 días y 40 noches en el monte Sinaí, habló con Dios y recibió toda la ley, que escribió en un libro.;Moses was on Mount Sinai 40 days and 40 nights, spoke with God, and received the entire law, which he wrote down in a book.
Moisés solo pudo ver la espalda del Señor, no su rostro, pero hablaban juntos y estaban cerca el uno del otro.;Moses could only see the back of the Lord, not his face, but they were talking together and were close by.
Dios dijo: nadie vio mi forma, así que nadie puede decir que va a crear una imagen o estatua y decir que es Dios.;God said: no one saw my form, so no one can say they are going to create an image or statue and say it is God.
En el versículo 16 se prohíbe completamente a los seres humanos crear imágenes talladas o esculturas de cualquier figura.;In verse 16 it is completely forbidden for human beings to create carved images or any sculpture of any figure.
Era prohibido crear cualquier imagen de hombre, mujer, animal, ave, reptil o pez, y decir que es Dios.;It was forbidden to create any image of man, woman, animal, bird, reptile, or fish, and say it is God.
Si la gente leyera la Biblia, sus ojos se abrirían y entenderían que toda imagen, estatua o pintura de Dios es una abominación.;If people would only read the Bible, their eyes would be opened and they would understand that every image, statue, or painting of God is an abomination.
Dios también prohíbe adorar el sol, la luna y las estrellas, y sin embargo hay pueblos que los adoran hasta hoy.;God also forbids worshiping the sun, the moon, and the stars, and yet there are peoples who worship them to this day.
Las tribus indígenas eran idólatras porque adoraban el sol, la luna y las estrellas, pero no solo ellas, sino toda la humanidad.;Indigenous tribes were idolaters because they worshiped the sun, moon, and stars, but not only they, but all of mankind.
Cuando Dios creó al pueblo de Israel, ya existía la idolatría y el paganismo, y el diablo ya había enseñado a la gente a pecar.;When God created the people of Israel, idolatry and paganism already existed, and the devil had already taught people to sin.
Esas tradiciones se mantienen hasta hoy en muchos países, principalmente en América Latina, África, Asia, Japón y China.;Those traditions are carried even to this day in many countries, mainly in Latin America, Africa, Asia, Japan, and China.
En esos lugares adoran al dragón, a estatuas con diferentes nombres, y tienen miles de costumbres y tradiciones distintas.;In those places they worship the dragon, statues with different names, and have thousands of different customs and traditions.
En América Latina también hay creencias en el sol, la luna, las estrellas, las lagunas, los animales y los amuletos.;In Latin America there is also belief in the sun, the moon, the stars, lagoons, animals, and charms.
En todas esas creencias, entregadas a la brujería y la hechicería, ¿puede una persona llamarse cristiana? No, eso es paganismo.;In all those beliefs, devoted to witchcraft and sorcery, can a person call themselves a Christian? No, that is paganism.
El paganismo es cuando se disfraza la religión: dicen que son cristianos, pero en privado son brujos, hechiceros o idólatras.;Paganism is when religion is disguised: they say they are Christian, but in private they are witches, sorcerers, or idolaters.
Por eso Dios se enoja tanto con el mundo, y quiere que aprendamos la Biblia y saquemos a la gente de la ignorancia.;That is why God is so angry with the world, and he wants us to learn the Bible and bring people out of ignorance.
Si en esta vida no protegemos nuestra vida espiritual, perderemos nuestra salvación y la vida eterna.;If in this life we do not protect our spiritual life, we will lose our salvation and eternal life.
Leamos en 2 Reyes 17, comenzando desde el versículo 8. El pueblo de Israel fue llevado cautivo porque Dios los castigó.;Let us read in 2 Kings 17, starting from verse 8. The people of Israel were taken captive because God punished them.
Los castigó porque hacían cosas malas ante el Señor y adoraban a otros dioses, siguiendo las costumbres de las naciones vecinas.;He punished them because they were doing evil things before the Lord and worshiping other gods, following the customs of neighboring nations.
El versículo 9 dice que los hijos de Israel hicieron secretamente contra el Señor su Dios cosas que no eran rectas.;Verse 9 says that the children of Israel secretly did against the Lord their God things that were not right.
Se construyeron lugares altos en todas sus ciudades, desde la torre de los guardas hasta la ciudad fortificada.;They built for themselves high places in all their cities, from watchtower to fortified city.
En esos lugares altos ponían a su dios y lo adoraban, ofreciendo sacrificios de animales, alimentos, granos, frutas y vegetales.;In those high places they would set their god and worship it, offering sacrifices of animals, food, grains, fruits, and vegetables.
También adoraban a los muertos, llamaban a los demonios y les ofrecían presentes y regalos.;They would also worship the dead, call upon demons, and offer them many presents and gifts.
En algunos países de América Latina celebran a los muertos y van al cementerio a llevarles comida y bebidas, lo cual es paganismo.;In some countries of Latin America they celebrate the dead and go to the cemetery to bring them food and drinks, which is paganism.
Todo eso contamina la vida espiritual y separa a los hombres y mujeres de Dios, poniendo una barrera en medio.;All of that contaminates the spiritual life and separates men and women from God, placing a barrier in the middle.
El versículo 10 dice que se levantaron pilares sagrados e imágenes de madera, que eran estatuas de demonios.;Verse 10 says that they set up for themselves sacred pillars and wooden images, which were statues of demons.
El demonio que estaba allí trabajaba milagros para quienes creían en esa estatua, para que la gente siguiera creyendo en el ídolo.;The demon that was there worked miracles for those who believed in that statue, so that people would continue to believe in the idol.
El diablo siempre ha hecho esto: estaba atento a los idólatras para saber en qué estatua creían y trabajar milagros para ellos.;The devil has always done this: he was attentive to idolaters to know what statue they believed in and work miracles for them.
Hoy en día la gente va a espiritistas, adivinos, hechiceros y brujos, y el diablo trabaja milagros para que sigan creyendo en ellos.;Today people go to spiritists, fortune tellers, sorcerers, and witches, and the devil works miracles so they keep believing in them.
Un demonio superior quita a un demonio inferior, y la persona parece sana por un tiempo, pero luego vuelve a enfermar.;A superior demon removes an inferior demon, and the person seems healthy for a time, but then gets sick again.
El diablo no le conviene ver a la gente feliz y sana, quiere verlos sufriendo, por eso trabaja de esa manera.;It is not convenient for the devil to see people happy and healthy, he wants to see them suffering, that is why he works that way.
Por eso hay tanta gente idólatra, pagana, que practica la brujería y la hechicería, porque el diablo hace muchas cosas.;That is why there are so many idolaters, so many pagan people who practice witchcraft and sorcery, because the devil does many things.
El diablo imita la obra de Dios para engañar a la gente y hacer que no sepan qué camino tomar.;The devil imitates God's work to deceive people and make them not know which path to take.
Por eso necesitamos leer la Biblia, aprender la doctrina de Dios y ser sinceros con él para que nos enseñe y guíe.;That is why we need to read the Bible, learn God's doctrine, and be sincere with him so that he may teach and guide us.
Después de nuestro Señor Jesucristo, el paganismo comenzó a mezclarse con el cristianismo en el segundo siglo.;After our Lord Jesus Christ, paganism began to mix with Christianity in the second century.
La gente cambió los nombres de sus dioses y los reemplazó con nombres de cristianos, apóstoles y santos.;People changed the names of their gods and replaced them with the names of Christians, apostles, and saints.
Así surgieron las estatuas, imágenes y pinturas de santos, y las celebraciones religiosas paganas con nombres cristianos.;That is how statues, images, and paintings of saints arose, along with pagan religious celebrations with Christian names.
El 24 o 25 de diciembre, según la historia, se celebraba el nacimiento de un ídolo o demonio, y cuando llegó el cristianismo, cambiaron ese nombre.;On December 24 or 25, according to history, the birth of an idol or demon was celebrated, and when Christianity arrived, they changed that name.
Dijeron que era el nacimiento del niño Jesús para poder seguir celebrando, pero Dios nunca dijo que celebraran su cumpleaños.;They said it was the birth of baby Jesus so they could continue celebrating, but God never said to celebrate his birthday.
Si celebramos esas festividades, estamos participando en los pecados de otros y en la idolatría, y Dios se aparta de nosotros.;If we celebrate those holidays, we are participating in the sins of others and in idolatry, and God turns away from us.
Debemos huir de esas celebraciones y enseñar a nuestros hijos que son incorrectas, para no contaminar nuestra vida espiritual.;We must flee from those celebrations and teach our children that they are wrong, so as not to contaminate our spiritual life.
Leamos Romanos 1:18. La ira de Dios se revela desde el cielo contra toda impiedad e injusticia de los hombres.;Let us read Romans 1:18. The wrath of God is revealed from heaven against all ungodliness and unrighteousness of men.
Porque lo que de Dios se conoce les es manifiesto, pues Dios se lo manifestó, y desde la creación del mundo sus atributos son claramente visibles.;Because what may be known of God is manifest in them, for God has shown it to them, and since the creation of the world his attributes are clearly seen.
Aunque conocían a Dios, no lo glorificaron como Dios ni le dieron gracias, sino que se envanecieron en sus razonamientos y su necio corazón fue entenebrecido.;Although they knew God, they did not glorify him as God nor were thankful, but became futile in their thoughts and their foolish hearts were darkened.
Profesando ser sabios, se hicieron necios y cambiaron la gloria del Dios incorruptible por imágenes de hombres, aves, animales y reptiles.;Professing to be wise, they became fools and changed the glory of the incorruptible God into an image made like corruptible man, birds, animals, and creeping things.
Por eso Dios los entregó a la inmundicia, en los deseos de su corazón, para que deshonraran sus propios cuerpos entre sí.;Therefore God gave them up to uncleanness in the lust of their hearts to dishonor their bodies among themselves.
Cambiaron la verdad de Dios por la mentira y adoraron y sirvieron a la criatura en lugar del Creador, que es bendito para siempre.;They exchanged the truth of God for the lie and worshiped and served the creature rather than the Creator, who is blessed forever.
Por eso Dios los entregó a pasiones vergonzosas: las mujeres cambiaron el uso natural y los hombres se encendieron en lujuria unos con otros.;For this reason God gave them up to vile passions: women changed the natural use and men burned in their lust for one another.
Ahora sabes por qué existen lesbianas y homosexuales: por el pecado, el mal y la desobediencia del hombre que olvidó a Dios.;Now you know why lesbians and homosexuals exist: because of sin, evil, and the disobedience of man who forgot God.
Dios los entregó a esas pasiones para que hicieran cosas aún peores, y así tener que castigarlos con más severidad.;God delivered them over to those passions so that they would do even worse things, and thus have to punish them more severely.
Demos gracias porque estamos conociendo su camino, y nunca nos apartemos del camino del Señor ni lo deshonremos.;Let us give thanks because we are getting to know his path, and let us never turn away from the path of the Lord or dishonor him.
Oremos a Dios para que el Señor nos ayude y se sienta orgulloso de nosotros porque guardamos sus mandamientos.;Let us pray to God so that the Lord may help us and feel proud of us because we keep his commandments.
Santo Padre, gracias Señor, Dios Todopoderoso, eterno, creador de los cielos y la tierra, Padre de Abraham, de Isaac y de Jacob.;Holy Father, thank you Lord, almighty God, eternal, creator of the heavens and earth, Father of Abraham, of Isaac, and of Jacob.
Tú nos proteges del mal, de los peligros y de las trampas del diablo, de la envidia del diablo, de la brujería y la hechicería.;You protect us from evil, from dangers, and from the traps of the devil, from the envy of the devil, from witchcraft and sorcery.
Gracias, Padre celestial, por todas estas bendiciones, por tu misericordia, por tu amor y por tu santa palabra.;Thank you, heavenly Father, for all these blessings, for your mercy, for your love, and for your holy word.
Gloriosos son tu nombre y tus promesas, que son fieles y verdaderas. Te alabamos, Señor, te damos el honor y la gloria.;Glorious are your name and your promises, which are faithful and true. We praise you, Lord, we give you the honor and the glory.
Bendito y alabado sea tu nombre. Toda alabanza es para ti. Bendito Dios, poderoso Dios, Rey santo, justo, misericordioso y bondadoso.;Blessed and praised be your name. All praise is for you. Blessed God, mighty God, holy King, righteous, merciful, and kind.
Tú, Señor, creaste los cielos con tu poder y tu misericordia, y nos tienes aquí ante tu presencia clamando por tu misericordia.;You, Lord, created the heavens with your power and your mercy, and you have us here before your presence crying out for your mercy.
Ayúdanos a servirte, a alabarte y a glorificarte, y ayúdanos a apartarnos del mal y a enseñarnos tu doctrina.;Help us to serve you, to praise and glorify you, and help us to turn away from evil and teach us your doctrine.
Gracias, Padre celestial, en el glorioso nombre de Jesucristo, tu amado Hijo. Bendito y alabado sea tu nombre para siempre.;Thank you, heavenly Father, in the glorious name of Jesus Christ, your beloved Son. Blessed and praised be your name forever.
Santo, santo, santo es el Señor de los ejércitos. Gracias, Señor. Gracias, Santo Padre, en el nombre de Jesucristo, tu amado Hijo. Amén.;Holy, holy, holy is the Lord of hosts. Thank you, Lord. Thank you, holy Father, in the name of Jesus Christ, your beloved Son. Amen.
Hermanos y hermanas, Dios los bendiga. Muchas gracias y hasta la próxima. Que Dios los bendiga.;Brothers and sisters, God bless you. Thank you very much and until next time. God bless you.
