Mi pregunta es en Primer Pedro capítulo 3, verso 3.;My question is in First Peter chapter 3, verse 3.
aunque lo vemos en el mundo. A veces hay muchas personas que se visten con ropa de marca diferente,;although we do see that in the world. Sometimes there are many people that dress with different name brand clothing,
tienen ciertas marcas en, y cuesta mucho dinero, la ropa que llevan,;they have certain brands on, and it costs a lot of money, the clothing that they're wearing,
y ya que tienen tanto dinero que compran todo lo que es caro,;and since they have so much money they buy everything that's expensive,
y esta es la forma en que muestran que son de un estatus social muy alto.;and this is the way that they show that they are from a very high social status.
Pero en el Señor, en nuestra vida espiritual, Dios, en la Antigüedad, el pueblo de Israel,;But in the Lord, in our spiritual life, God, in Antiquity, the people of Israel,
Dios les permitió que los principados para que tengan atuendo y joyas para mostrar su estatus;God did allow them that the principalities for them to have attire and jewelry to show off their status
y que todos los demás deben respetarlos. Entonces, cuando llega el Evangelio de Jesucristo, el Señor dijo:,;and that everyone else should respect them. Then, when the Gospel of Jesus Christ arrives, the Lord said,
ya no mostrarás tu santidad y tu perfección.;you no longer will show your holiness and your perfection.
Ya no lo demostrarás con la forma en que te vistes.;You will no longer show it off with the way that you dress.
Lo mostrarás con tus frutos, con lo que está en tu corazón, con tu humildad, tu modestia, tu misericordia,;You will show it with your fruits, with what is in your heart, with your humility, your modesty, your mercy,
con todos estos atributos diferentes, con todos estos valores diferentes, los frutos del espíritu, las virtudes;with all of these different attributes, with all of these different values, the fruits of the spirit, virtues
y cualidades internas del corazón. Así es como demostrarás que eres un hombre o una mujer de Dios.;and internal qualities of the heart. This is how you will show that you are a man or a woman of God.
Ahora, incluso si usas todas estas joyas,;Now, even if you do use all of this jewelry,
nadie va a creer que eres un hombre perfecto Holier,;no one's going to believe that you are a Holier perfect man,
porque si usted está usando todas estas joyas y piedras preciosas;because if you are using all these precious jewelry and stones
y la ropa más cara, podrías ser un hombre malo, mujer mala, en tu corazón,;and the most expensive clothing, you could be an evil man, evil woman, in your heart,
y Dios no te mirará. Así que, con tu vestido, no vas a demostrar tu Santidad.;and God will not look at you. So, with your attire, you're not going to demonstrate your Holiness.
Esto es lo que el Apóstol Pedro estaba enseñando. Él dijo, ahora, en el evangelio,;This is what the Apostle Peter was teaching. He said, now, in the gospel,
ya no muestran su santidad con la forma en que vistes, con tu atuendo, con tu ropa fina;you no longer show your holiness with the way that you dress, with your attire, with your fine apparel
y tu ropa de lujo. Dice en el versículo 4, que va a mostrar su Santidad,;and your updos and your luxurious clothing. It says in verse 4, you are going to show your Holiness,
tu Perfección, ante Dios, y está en tu corazón.;your Perfection, before God, and it is in your heart.
Dice, más bien que sea la persona oculta del corazón, con la belleza incorruptible de un gentil;It says, rather let it be the hidden person of the heart, with The Incorruptible beauty of a gentle
y Espíritu silencioso, que es muy precioso ante los ojos de Dios.;and quiet Spirit, which is very precious in the sight of God.
Así, con esa humildad, con esa modestia, las mujeres en la Antigüedad, también vivieron la vida con Dios.;So, with that humility, with that modesty, the women in Antiquity, they also lived life with God.
Así que no lo sé, hermanos y hermanas, si estaba claro.;So I don't know, brothers and sisters, if I was clear.
No es que sea un pecado usar joyas.;It's not that it is a sin to wear jewelry.
No es un pecado para ti ponerte ropa de marca, ropa cara, por supuesto,;It is not a sin for you to put on brand named clothing, expensive clothing, of course,
todo según sus medios económicos. Compras la ropa que llevas,;all according to your economic means. You buy the clothing that you wear,
y así es como vives tu vida. Si quieres llevar joyas, diamantes, puedes usarlos.;and that's how you live your life. If you want to wear jewelry, diamonds, you can wear them.
Eso no es un pecado ante Dios. Pero con eso, no estás mostrando ninguna Santidad o Perfección ante el Señor.;That's not a sin before God. But with that, you're not showing any Holiness or Perfection before the Lord.
Pero es con tus virtudes morales internamente en tu corazón.;But it is with your moral virtues internally in your heart.
Así es como muestras humildad y modestia. Así es como te enseñas que eres un hijo o una hija de Dios,;This is how you show humility and modesty. This is how you then show you are a son or a daughter of God,
con la forma en que eres. Estás alejado del pecado, no haces nada malo ni malo.;with the way that you are. You are turned away from sin, you do not do anything evil or wrong.
Este es ese atuendo espiritual que el Señor quiere que te pongas: saber que un hombre o una mujer es recto,;This is that spiritual attire that the Lord wants you to put on: to know that a man or a woman is upright,
hijos de Dios y temerosos de Dios. Eso es. Pero no significa que cuando pones ropa o usas joyas sea un pecado,;children of God and fearful of God. That's it. But it does not mean that when you put on certain clothing or wear jewelry it's a sin,
sólo que en Antigüedad así es como lo mostraron con lo que la gente tenía. Pero hoy ese no es el caso.;only that in Antiquity that's how they did show it with what people had. But today that's not the case.
Hoy las cosas son diferentes. Ahora es el corazón, es lo que hay dentro,;Today things are different. It is now the heart, it's what's inside,
y nuestro Señor Jesucristo dijo que por la abundancia del corazón la boca habla.;and our Lord Jesus Christ said that out of the abundance of the heart the mouth speaks.
¿Qué hay en el corazón de cada persona, cosas buenas?;So what is in the heart of each person, good things?
Bueno, si hay cosas buenas, entonces eso es lo que va a salir,;Well, if there are good things, well then that is what is going to come out,
y no tiene nada que ver con la forma en que te vistes.;and it has nothing to do with the way that you dress.
Y al final, lo que estás poniendo, es como lo dice Eclesiastés, es vanidad de vanidades,;And in the end, what you are putting on, it's like what Ecclesiastes says, it's vanity of vanities,
todo llega a su fin. Pero eso no es un pecado ante el Señor.;it all comes to an end. But that is not a sin before the Lord.
Y así no retorzcamos la interpretación de la Biblia.;And so let us not twist the interpretation of the Bible.
Y por eso hay tantas religiones hoy y tanto fanatismo,;And that's why there are so many religions today and so much fanaticism,
y muchas personas huyen del Señor debido al fanatismo.;and many people flee away from the Lord because of fanaticism.
Y queremos buscar a Dios. Queremos tener un corazón dispuesto, preparado para amar al Señor;And we want to seek God. We want to have a willing, prepared heart to love the Lord
y servir a nuestro vecino. extranjero.;and to serve our neighbor. foreign.
