Hermana, mi pregunta está en el Evangelio según Mateo 18: 20.;Sister, my question is in the Gospel according to Matthew 18: 20.
¿Cuál sería el propósito de esos niños? ¿Cuál es el propósito de alguien que tiene regalos si esta persona declara en casa sólo;what would be the purpose of those kids? What's the purpose of someone having gifts if this person states at home only
¿y esta persona sólo reza en casa? ¿A quién va esta persona a impartir esos dones espirituales?;and this person only prays at home? To whom is this person going to impart those spiritual gifts?
¿A quién va a poner las manos? ¿A quién va a profetizar?;To whom is he going to lay hands? To whom is he going to prophesy?
¿A quién va a orar por sanar? En ese caso esta persona no está trabajando los dones espirituales.;To whom is he going to pray for healing? In that case this person isn't working the spiritual gifts.
Por eso en el evangelio del Señor el Espíritu Santo enseñaba que necesitábamos congregarnos,;This is why in the gospel of the Lord the Holy Spirit taught that we needed to congregate ourselves,
porque así es como Dios se manifiesta y cómo podemos orar unos por otros;because this is how God manifests himself and how we can pray for each other
y estamos trabajando los dones espirituales. Es por eso que algunas denominaciones,;and we are working the spiritual gifts. That's the reason why this is why some denominations,
algunas religiones guardaban el traje del pueblo antiguo de Israel,;some religions kept the costume of the ancient people of Israel,
y algunas confesiones creencias o religiones se congregan una vez a la semana los domingos, por ejemplo,;and some denominations beliefs or religions they congregate themselves once a week on Sundays for instance,
porque había muchas religiones que cambiaron los sábados para los domingos y las personas se acostumbraron a asistir a la iglesia sólo los domingos.;because there were many religions that changed Saturdays for Sundays and people got used to attend church only on Sundays.
Hemos notado esto en la iglesia tradicional, así que la gente sólo tenía que ir a la iglesia los domingos,;We noticed this in the traditional church as well that people only had to go to church on Sundays,
y por eso muchas religiones guardaban esta costumbre de asistir sólo los domingos.;and for that reason many religions kept this custom of attending only on Sundays.
Pero en una congregación donde el Espíritu Santo se manifiesta;But in a congregation where the Holy Spirit manifests himself
y donde hay dones espirituales no podemos congregarnos sólo una vez a la semana, de lo contrario la gente no recibirá cosas espirituales;and where there are spiritual gifts we cannot congregate only once a week, otherwise people won't receive spiritual things
y los dones espirituales, y aquellos que tienen los dones espirituales no pueden impartir a otras personas.;and the spiritual gifts, and those who have the spiritual gifts cannot impart to other people.
Del mismo modo, no podríamos ver milagros o maravillas que Dios trabaja en su iglesia si sólo asistimos una vez a la semana.;Likewise, we wouldn't be able to see miracles or wonders that God works in his church if we only attend once a week.
Estaríamos espiritualmente dormidos, estaríamos afligiendo al Espíritu Santo,;We would be spiritually asleep, we would be grieving the Holy Spirit,
y seríamos como cualquier otra religión. Eso es, hermanos;and we would be just like any other religion. That's it, brothers
y hermanas. Por lo tanto, debido a los dones espirituales tenemos que congregarnos diariamente,;and sisters. Therefore, because of the spiritual gifts we have to congregate ourselves daily,
si es posible todos los días que pueden, porque hay personas que no pueden porque tienen hijos, trabajan,;if possible every day those who can, because there are people who can't because they have children, they work,
estudian, están enfermos. Muy bien. Por cualquier razón no puedes ir a la iglesia porque vives lejos,;they study, they are ill. Very well. For any reason you cannot go to church because you live far away,
porque no hay transporte disponible, porque las personas que viven en el campo no pueden asistir a la iglesia porque no tienen transporte disponible,;because there is no transportation available, because people who live in the countryside cannot attend church because they don't have transportation available,
entonces oran en casa y Dios lo ve.;then they pray at home and God he sees that.
Pero aquellos que pueden Dios están contentos de que se reúnan, porque necesitamos trabajar las cosas espirituales.;But those who can God is pleased that you congregate, because we need to work the spiritual things.
Eso es. Cuando alguien te pregunta, ¿por qué nos congregamos cada noche, el Espíritu Santo nos enseñó.;That's it. When someone asks you, why do we congregate every night, the Holy Spirit taught us.
Recuerdo que cuando esta iglesia comenzó, bueno, el Espíritu Santo comenzó a manifestarse en medio de nosotros.;I remember that when this church began, well, the Holy Spirit began to manifest himself in the midst of us.
Estábamos acostumbrados a la iglesia evangélica que pertenecí a la que estábamos acostumbrados a asistir sólo los martes,;We were used to in the evangelic church that I belonged to we were used to attend only on Tuesdays,
Jueves y domingos. Los martes hubo oración, los jueves hubo un sermón,;Thursdays and Sundays. On Tuesdays there was prayer, on Thursdays there was a sermon,
y los domingos también había un sermón, y esto es lo que hicimos en esa iglesia a la que pertenezco.;and on Sundays there was a sermon too, and this is what we did in that church that I belong to.
Después cuando esta iglesia comenzó el Espíritu Santo comenzó a manifestarse con nosotros y a hablar con nosotros;Afterwards when this church began the Holy Spirit began to manifest himself with us and to speak to us
y para darnos orden al Señor y continuamos haciendo lo mismo la costumbre de la otra iglesia;and to give us order the Lord and we continue doing the same the custom of the other church
y nos congregamos sólo tres días por semana hasta que el Espíritu Santo dijo cada noche que necesitan congregarse.;and we congregated ourselves only three days per week until one the Holy Spirit said every night you need to congregate yourselves.
Cada noche, cada noche tienes que congregarte rezando y adorando.;Every night, every night you have to be congregated praying and worshiping.
Este fue el orden del Espíritu Santo. Es por eso que desde entonces empezamos a tener las reuniones cada noche;This was the order of the Holy Spirit. This is why since then we began to have the gatherings every night
y hay mucha gente que viene y critica y pregunta por qué nos reunimos cada noche.;and there's many people who come and criticize and ask why do we gather every night.
Esto es para usted para explicar que este es un orden de Dios;This is for you to explain that this is an order of God
y que tiene sentido, porque si analizamos esto lógicamente, sí es trabajar los dones espirituales,;and that it makes sense, because if we analyze this logically, yes it is to work the spiritual gifts,
porque allí en casa no puedo trabajar sus dones espirituales. A quien por lo tanto está en la congregación,;because over there at home I can't work their spiritual gifts. To whom therefore it is in the congregation,
y como dije antes que aquellos que pueden, porque no todos pueden estar aquí todas las noches,;and as I said before those who can, because not everybody can be here every night,
pero aquellos que pueden lo hermoso que es. Y aquellos que no pueden por ninguna circunstancia;but those who can how beautiful that is. And those who can't for any circumstance
y Dios considera esas condiciones y pasa por alto, pero Dios ve la intención del corazón;and God considers those conditions and overlooks, but God sees the intention of the heart
y si en una congregación hay 100 200 personas quizás 100 no pueden asistir cada noche, pero los otros 100 pueden.;and and if in a congregation there are 100 200 people perhaps 100 cannot attend every night but the other 100 can.
Aquellos 100 necesitan trabajar y trabajar los dones espirituales para trabajar lo que Dios les da.;Those 100 need to work and work the spiritual gifts to work what God gives you.
Eso es, hermanos y hermanas. Qué hermosa pregunta y qué hermosa es explicar esto,;That's it, brothers and sisters. What a beautiful question and how beautiful it is to explain this,
porque hay muchas personas que dicen que no hay nadie que diga todos los días que ningún domingo es suficiente.;because there are many people who say no no no who says every day no Sundays are enough.
Muy bien, quien piensa de esa manera nunca recibirá los dones espirituales y jamás trabajará para Dios;Very well whoever thinks that way will never receive the spiritual gifts and will ever work for God
y nunca ganará almas para el Señor, porque no recibirás cosas espirituales sólo viniendo una vez a la semana.;and will never win souls over for the Lord, because you won't receive spiritual things only by coming once a week you.
