Extranjero. Quiero hacerte una pregunta sobre Mercy.;Foreign. I want to ask you a question regarding Mercy.
somos conscientes de todas estas cosas, amor, misericordia, paciencia, bondad, tolerancia, respeto a las personas,;we are aware of all of these things, love, Mercy, patience, kindness, tolerance, respect for people,
porque aquí cada persona es un mundo completamente diferente. y todos estamos aquí para estar juntos en armonía.;because here each person is a completely different world. and so we are all here to be together in harmony.
Así que debemos tener a Dios en nuestro corazón y tener paciencia unos con otros para tener mucho amor;So we ought to have God in our heart and to have patience with one another to have a lot of love
y bondad y tolerancia también porque hay algunos que tienen muchos defectos otros tienen muchas cualidades diferentes;and kindness and tolerance as well because there are some who have many flaws others have many different qualities
y virtudes que otros tienen muy poco defectos y así debemos tener paciencia;and virtues others have very little flaws and this way we ought to have patience
y tolerar el uno al otro y orar por el otro;and tolerate each other and to pray for each other
y respetar el respeto mutuo y valorarse mutuamente;and to respect to respect each other and to Value each other
y cuidarse unos a otros especialmente aquí en la congregación los hermanos;and to care for each other especially here in the congregation the brothers
y hermanas que profetizan se convierten en madres y padres del creyente así que deben vigilar;and sisters who prophesy they become mothers and fathers of the believer so they ought to keep watch
y siempre cuidar a la gente en lugar de regañarlas y gritarles y humillarlas, diciendo:,;and always care for people instead of scolding them and yelling at them And humiliating them, saying,
No te sientes aquí, siéntate ahí atrás. ¿Por qué estás aquí en esta primera Pew?;'Do not sit here, sit back there. Why are you here in this first Pew?
No mereces estar aquí, o dejas de saludarlos, o los ofendes.;You do not deserve to be here, or you stop greeting them, or you offend them.
No, eso es una falta de Mercy. La misericordia es hablar para cuidar a las personas con una sonrisa;No, that is a lack of Mercy.' Mercy is to talk to care for people with a smile
y hablar con buenos modales. Dejemos este espacio para aquellos que son nuevos.;and to speak with good manners. Let us leave this space for those who are new.
Esto es para las personas que están aquí por primera vez.;This is for people who are here for the first time.
Bueno niños juegan y gritan así que es mejor para ellos estar en la espalda pero todo se hace con paciencia con buenas palabras bien cuidados;Well children they play and they yell so it's better for them to be in the back but everything is done with patience with good words well-mannered
y con amabilidad. Todo esto implica a Mercy. Extranjero. Extranjero.;and with kindness. All of this entails Mercy. Foreign. Foreign.
