Hoy, en el evangelio del Señor Jesucristo, también dice que el Señor puso en la iglesia,;Today, in the gospel of the Lord Jesus Christ, it also says that the Lord placed in the church,
darle todas las virtudes y cualidades necesarias para ser un pastor para que pueda pastorearnos porque somos un mundo de problemas;give him all the virtues and qualities needed to be a pastor so that he can shepherd us because we are a world of problems
y dificultades, cada uno de nosotros, y venimos y el pastor debe llevar esa carga;and difficulties, each one of us, and we come and the pastor must carry that burden
y danos consejo, consejenos, ora por nosotros. Así que Dios lo apoyará.;and give us advice, counsel us, pray for us.' So, God will support him.
Por lo tanto, la congregación ora por el pastor para que Dios le dé esa sabiduría.;Therefore, the congregation prays for the pastor so that God gives him that wisdom.
Así que, que ese pastor cumple todos los requisitos que el Señor quiere, que nosotros como pastores trabajamos;So, that that pastor fulfills all the requirements that the Lord wants, that we as pastors work
y proveer eso a la congregación y no tener nada que avergonzarse ante Dios.;and provide that to the congregation and have nothing to be ashamed of before God.
Eso es. Tenemos que pedir a Dios por eso y tener amor;That's it. We have to ask God for that and to have love
y afecto por todos. Dios nos da todo eso. Como testimonio, os digo hermanos;and affection for everyone. God gives us all that. As a testimony, I tell you brothers
y hermanas que cuando el Señor me dio la responsabilidad de la obra, puso en mi corazón amor;and sisters that when the Lord gave me the responsibility of the work, he put in my heart love
y afecto por todas las personas, por todos los creyentes. Dios me dio eso.;and affection for all people, for all believers. God gave me that.
Amor y afecto para todos. Y tal vez soy así con todo el mundo, cariñoso, cariñoso,;Love and affection for everyone. And perhaps I am like that with everyone, affectionate, loving,
y les enseño les enseño la doctrina del Señor, pero con mucho amor,;and I teach them I teach them the Lord's doctrine, but with a lot of love,
con mucho afecto, con cortesía, respetando a cada persona, que cada persona es importante.;with a lot of affection, with politeness, respecting each person, that each person is important.
Eso es algo que el Señor me ha dado. Lo digo como un testimonio.;So, that's something the Lord has given me. I tell it as a testimony.
Por eso quiero y pido al Señor que dé lo que me ha dado a todos los pastores,;So, that's why I want and ask the Lord to give what he has given me to all the pastors,
a todos aquellos mil y algo pastores que hay en este momento,;to all those thousand and something pastors that there are at this moment,
que el Señor les da todo lo que me dio para que todos podamos trabajar con ese afecto,;that the Lord gives them all that as he gave me so that we can all work with that affection,
con ese amor, y la gente nos escucha. No importa lo rebelde que sea alguien,;with that love, and people listen to us. No matter how rebellious someone is,
nos escuchan porque les hablamos con amor, con misericordia. Entonces, la persona escucha;they listen to us because we speak to them with love, with mercy. So, the person listens
y cambios. Eso es. Eso es, hermanos y hermanas. Esa es la obra de los pastores.;and changes. That's it. That's it, brothers and sisters. That's the work of the pastors.
Pero tú también, algunos están llamados a ser pastores, así que ahora conoces los requisitos,;But you too, some are called to be pastors, so now you know the requirements,
y los creyentes también saben que tienen que orar por los pastores,;and the believers also know that they have to pray for the pastors,
y así el trabajo será perfecto.;and so the work will be perfect.
