Mi pregunta es, hermana, ¿por qué la humanidad no ha dejado de practicar la idolatría?;My question is, sister, why has humankind not stopped engaging in idolatry?
Y aun así guardan en casa un recuerdo, las figuritas de santos de porcelana fina o chapadas en oro de sus abuelos.;And yet they keep at home a little memento, the little saint figurines of fine porcelain or gold-plated from their grandparents.
Dicen: ¿cómo voy a deshacerme de esto si es de porcelana fina traída de Europa? Así que el santito está allí bien guardado.;They say: how am I going to get rid of this if it is fine porcelain brought from Europe? So the little saint is there, well kept.
A eso también podemos llamarle idolatría, porque no soltamos esas cosas sino que queremos guardarlas en nuestro corazón.;We can also call that idolatry, because we do not let go of these things but instead want to keep them in our hearts.
Esto daña nuestra vida espiritual. Hay personas que asisten a la iglesia, han recibido el Espíritu Santo, y aún andan con escapularios.;This harms our spiritual life. There are people who attend church, have received the Holy Spirit, and yet still go around with scapulars.
Guardan amuletos contra la mala suerte y para la buena suerte, y las figuritas de santos como recuerdos que no pueden soltar.;They keep amulets against bad luck and for good luck, and little saint figurines as keepsakes they cannot let go of.
Y se preguntan: ¿por qué Dios no me bendice? A veces el Señor dice: busca en tu casa qué hay allí que está obstaculizando tus bendiciones.;And they wonder: why is God not blessing me? Sometimes the Lord says: search your house, see what is there hindering your blessings.
La persona dice: pero ¿qué hay en mi casa? No sé. No tengo nada. Y en el último cajón están guardadas las supersticiones y los amuletos.;The person says: but what is in my house? I do not know. I have nothing. And in the last little drawer are kept the superstitions and amulets.
El cabello de quién sabe quién, las uñas de quién sabe qué, los dientecitos de mi tatarabuelo, todo guardado allí.;The hair of who knows who, the nails of who knows what, the little teeth of my great-great-grandfather, all stored there.
Todo eso daña el crecimiento espiritual y hace que creamos y guardemos cosas que no sirven para nada, y Dios no nos da bendiciones.;All of this harms spiritual growth, making us believe and keep things that are of no use at all, and God does not give us blessings.
Muchos hermanos me dicen: el Señor me decía que no te doy bendiciones espirituales porque en tu casa tienes cosas que no deberías tener.;Many brothers and sisters tell me: the Lord was telling me, I do not give you spiritual blessings because in your house you have things you should not have.
Hasta que la persona recuerda: tengo los dientecitos de mi bisabuelo en un escapulario. Todo eso estaba obstaculizando.;Until the person remembers: I have my great-grandfather's little teeth in a scapular. All of that was hindering.
Tiré todo eso, me deshice de amuletos, supersticiones y creencias, y ahora Dios me ha bendecido y me ha dado dones espirituales.;I threw all that away, got rid of amulets, superstitions, and beliefs, and now God has blessed me and given me spiritual gifts.
Tengan mucho cuidado. Si viven con familia que no va a la iglesia y tienen ciertas cosas, respeten eso, pero ustedes apártense de todo eso.;Be very careful. If you live with family who do not go to church and they own certain things, respect that, but you turn away from all of that.
Aparten su corazón y su mirada de todas esas cosas, y verán cómo Dios les da bendiciones y victoria.;Turn your heart and your gaze away from all these things, and you will see how God gives you blessings and victory.
Si empezamos a hablar de amuletos y supersticiones, nunca terminaríamos, porque en el campo hay más de estas cosas.;If we start talking about good luck charms and superstitions, we would never finish, because in the countryside there are more of these things.
El agua, la laguna, el río, el arbolito que no debes pasar por debajo sino por encima, porque si no es mala suerte.;The water, the lagoon, the river, the little tree you should not walk under but over, because otherwise it is bad luck.
Es mala suerte tener un gato negro en la casa, y la gente mata a esos gatos porque los considera de mala suerte. No, eso son mentiras.;It is bad luck to have a black cat in the house, and people kill those cats because they consider them bad luck. No, those are all lies.
Y las conchas del mar que no debes tener en casa porque traen mala suerte. Todo eso son mentiras. Es solo una concha, un adorno.;And the seashells from the sea that you should not have in the house because they bring bad luck. All of that is lies. It is just a seashell, an ornament.
No debemos dar credibilidad a todo eso porque nos quita las bendiciones de Dios y nos deja atados y esclavizados por tantas creencias.;We should not give credibility to all that because it takes away God's blessings from us and leaves us tied down and enslaved by so many beliefs.
No, seamos libres de todo eso. Que Dios siempre nos enseñe.;No, let us be free from all of that. May God always teach us.
