Hermana, sé que debemos saber esperar el tiempo de Dios, pero me gustaría que me enseñaras;Sister, I know we must know how to wait for God's time, but I would like you to teach me
Pero en cambio, la persona comienza a dejarse llenar con nervios, ansiedad, miedos,;But instead, the person begins to let themselves be filled with nerves, anxiety, fears,
y dudas, y a Dios no le gusta eso. Por lo tanto, si queremos que Dios cumpla sus promesas en nuestras vidas,;and doubts, and God does not like that. Therefore, if we want God to fulfill his promises in our lives,
debemos confiar, creer, no crecer desesperado, no dudar, pero presionar y esperar el tiempo de Dios.;we must trust, believe, not grow desperate, not doubt, but press on and wait for God's time.
Mientras tanto, seamos diligentes en nuestras vidas y hagamos nuestro mejor esfuerzo para que todo vaya;In the meantime, let's be diligent in our lives and do our best so that everything goes
y funciona bien. Si no tengo trabajo, no puedo dejarme morir de hambre porque no tengo trabajo,;and works well. If I don't have a job, then I can't let myself starve because I don't have work,
y Dios me prometió que trabajaré en una empresa multinacional ganando mucho dinero,;and God promised me that I will work in a multinational company earning a lot of money,
y aquí me muero de hambre, y la compañía multinacional no me ha llamado a trabajar.;and here I am starving, and the multinational company hasn't called me to work.
No, mientras tanto, Dios me dijo que trabajaré en una empresa multinacional, pero mientras tanto,;No, in the meantime, God told me that I will work in a multinational company, but in the meantime,
Voy a hacer algo. Limpiaré suelos, lavaré ropa, o hierro, o iré al mercado, o llevaré comestibles,;I'm going to do something. I'll clean floors, wash clothes, or iron, or go to the market, or carry groceries,
o hacer muchas cosas. Haré esto mientras espero la promesa de que la compañía multinacional me llamará a trabajar.;or do many things. I'll do these while I wait for the promise that the multinational company will call me to work.
Así que voy a hacer algo que sé hacer,;So, I am going to do something that I know how to do,
pero voy a tomar acción mientras tanto porque no puedo morir de hambre.;but I am going to take action in the meantime because I can't die of hunger.
No puedo dejar que mis hijos mueran de hambre. Tengo que hacer algo.;I can't let my children starve. I have to do something.
Tengo que hablar con la gente. ¿Necesitas a alguien?;So, I have to talk to people. Do you need someone?
¿Necesitas a alguien que cuide a una persona mayor?;Do you need someone to take care of an elderly person?
¿Para cuidar de una persona enferma? ¿Para cuidar de los niños?;To take care of a sick person? To take care of children?
Estoy aquí listo para hacerlo mientras espero la llamada de la multinacional que Dios me prometió.;I am here ready to do it while I wait for the call from the multinational that God promised me.
Y así es. Dios ve que somos diligentes.;And that's how it is then. God sees that we are diligent.
Pero si me siento allí esperando que me llamen,;But if I just sit there waiting for them to call me,
y mientras tanto, el alquiler y la comida y todo empieza a pisarme,;and meanwhile, the rent and the food and everything starts piling up on me,
Nunca voy a progresar porque Dios ve que no estoy siendo diligente. Debemos ser diligentes;I'm never going to make progress because God sees that I am not being diligent. We must be diligent
y trabajar en lo que esté disponible. Algunas personas sólo quieren trabajar en una oficina detrás de las computadoras,;and work in whatever is available. Some people only want to work in an office behind the computers,
como los llaman aquí, y dicen: 'No, porque estudié, ese es el trabajo que voy a hacer.';as they call them here, and they say, 'No, because I studied, that's the job I'm going to do.'
Y puesto que nunca encuentran un trabajo como ese, se les queda dinero, alquiler, dinero prestado, lleno de deudas.;And since they never find a job like that, they're left owing money, rent, borrowing money, full of debts.
¿Por qué no? Porque tengo que estar en la oficina escribiendo, ¿verdad?;Why not? Because I have to be in the office typing, right?
Escribir. Ese es mi trabajo. ¿Verdad? Y otros trabajos pueden ser ofrecidos a ellos, desempeñando otros papeles, jardinería.;Writing. That's my job. Right? And other jobs can be offered to them, performing other roles, gardening.
Bueno, hay muchas cosas. No, no, no, no puede ser.;Well, so many things there are. No, no, no, that cannot be.
Estoy aquí y le debo dinero a mucha gente y pido dinero para mis gastos de vida,;I'm here and I owe money to many people and I ask for money for my living expenses,
pero hasta que esté en la oficina, no lo haré. Así le sucede a la gente porque se vuelven codiciosos, orgullosos,;but until I'm there in the office, I won't. That's how it happens to people because they become greedy, prideful,
porque eso también es orgullo, vanidad de no trabajar en otra cosa mientras tanto, haciendo lo que sea, cualquier trabajo.;because that's pride, too, vanity of not working in anything else in the meantime, doing whatever, any job.
Y aquí estoy esperando las promesas de Dios, ¿verdad? ¿Ves que Dios me prometió tantas cosas?;And here I am waiting for God's promises, right? Do you see that God promised me so many things?
Una hermana me dijo: 'Dios me prometió que me bendecirá;A sister told me, 'God promised me that he's going to bless me
y que tendré mucho dinero, pero por ahora, bueno,;and that I will have a lot of money, but for now, well,
No estoy haciendo nada porque estoy esperando la promesa de Dios. Le debo $15,000 en alquiler, en impuestos de casa.;I'm not doing anything because I'm waiting for God's promise.'? I owe $15,000 in rent, in house taxes.
Le debo a la administración, que es $8.000. Le debo a un montón de gente dinero que me dieron para comer.;I owe the administration, which is $8,000. I owe a bunch of people money that they lent me to eat.
Muy bien. Eso totalizó hasta unos 20 o 30.000 dólares, la deuda lo hizo.;All right. That totaled up to about 20 or 30,000 dollars, the debt did.
Le dije: 'Pero ¿por qué no vas a trabajar en nada mientras tanto?;I said to her, 'But why don't you go work at anything in the meantime?
Dice: 'No, no, no, porque Dios me prometió.;' She says, 'No, no, no, because God promised me.
Es que Dios me prometió que me daría un trabajo;It's that God promised me he's going to give me a job
y que voy a tener mucho dinero;and that I'm going to have a lot of money
y eso es lo que estoy esperando, para tener mucho dinero;and that's what I'm waiting for, to have a lot of money.'
Y ahora está en deuda porque le dijeron: 'Hacer algo mientras tanto o vender o alquilar esa casa.;And now she's in debt because she was told, 'Do something in the meantime or sell or rent that house.
Haz algo, pero ¿por qué tienes que vivir solo en una casa tan grande?;Do something, but why do you have to live alone in such a big house?
Así que, dejándola a su capricho, veamos lo lejos que va a ir cuando tomen;' So, leaving her to her whim, let's see how far it'll go when they take
y agarrar todo. Entonces seguramente cambiará de opinión sobre la promesa que dice que Dios le dijo.;and seize everything. Then surely she will change her mind about the promise she says God told her.
Así que, hermanos y hermanas, necesitamos ser realistas, ser prácticos, ser diligentes, actuar sabiamente,;So, brothers and sisters, we need to be realistic, be practical, be diligent, act wisely,
y aplicar lógica a todas las cosas y todas las situaciones en nuestras vidas.;and apply logic to all things and all situations in our lives.
Aplica lógica a todo. Así que la gente no debería empezar a llorar o a sentirme triste porque dicen: 'Dios me prometió;Apply logic to everything. So, people shouldn't start crying or feeling sad because they say, 'God promised me
y no lo ha cumplido. No es así. Es porque no hemos entendido, no hemos comprendido la palabra de Dios, el plan de Dios,;and hasn't fulfilled it.' It's not like that. It's because we haven't understood, we haven't comprehended God's word, God's plan,
y nos volvemos perezosos, como dicen allí, o dependientes, o viviendo de otros con préstamos;and we become lazy reliant, as they say over there, or dependent, or living off others with loans
y todo porque estoy esperando las promesas. No, seamos diligentes porque Dios nos dio salud, manos, piernas,;and everything because I'm waiting for the promises. No, let us be diligent because God gave us health, hands, legs,
un cuerpo. Nos dio todo para que podamos trabajar, para que podamos luchar.;a body. He gave us everything so that we can work, so that we can fight.
Y Dios, el día que quiere darnos bendiciones materiales, nos las dará inesperadamente,;And God, the day he wants to give us material blessings, will give them to us unexpectedly,
no mientras nos sentamos aquí en silencio esperando esa promesa.;not while we sit here quietly waiting for that promise.
Hagamos con diligencia, hagamos algo, inventemos algo, pero debemos seguir avanzando y continuar en el Señor.;Let us act with diligence, do something, invent something, but we must keep moving forward and continue in the Lord.
Eso es lo que debemos hacer, y las promesas de Dios vendrán.;That is what we must do, and God's promises will come.
¿Cuántas promesas de Dios? Mira, incluso ahora, después de 40 años en mi vida,;How many promises of God? Look, even now, after 40 years in my life,
promesas que Dios me hizo hace más de 40 años se han cumplido.;promises that God made to me more than 40 years ago have been fulfilled.
Incluso ahora he visto promesas que aún se cumplen. Pero nunca me desesperaba.;And even now I've seen promises still being fulfilled. But I never grew desperate.
En cambio, con mucha alegría y olvido de todo eso, seguí al Señor.;Instead, with much joy and forgetting about all of that, I followed the Lord.
Incluso pensé que tal vez el Señor se había olvidado de ello.;I even thought that maybe the Lord had forgotten about it.
Lo había olvidado. Y cuando el Señor me sorprende;I had indeed forgotten. And when the Lord surprises me
y los cumple, entonces digo, "Mira, el Señor ya me había dicho hace más de 40 años que viviría esta situación";and fulfills them, then I say, 'Look, the Lord had already told me more than 40 years ago that I would live this situation.'
Gracias al Señor. No lo olvida, pero nosotros sí.;Thanks to the Lord. He doesn't forget, but we do.
De acuerdo, no pongamos nuestros corazones en cosas materiales en la vida.;All right, let's not set our hearts on material things in life.
Pongamos nuestros corazones en Dios, agradando a Dios, y Dios cuidará del resto en cada una de nuestras vidas.;Let's set our hearts on God, on pleasing God, and God will take care of the rest in each of our lives.
.;.
