¿Estás completamente seguro?;Are you absolutely sure?
¿Qué tan consistente es eso?;How consistent is that?
¿Qué tan conveniente es esto?;How practical is this?
¿Qué tan estable es esto?;How stable is this?
¿Qué tan fuerte es esa idea?;How strong is that idea?
¿Qué tan lógico te parece?;How logical does that seem to you?
¿Qué tan práctico sería esto?;How practical would this be?
¿Qué tan probable crees que sea?;How likely do you think that is?
¿Qué tan probable es eso?;How likely is that?
¿Qué tan probable sería eso?;How likely would that be?
¿Qué tan razonable es eso?;How reasonable is that?
¿Qué tan realista es eso?;How realistic is that?
¿Qué tan seguro es eso?;How certain is that?
¿Qué tan sólido es eso?;How solid is that?
¿Qué tan sólido parece esto?;How solid does this seem?
¿Qué tan válido es eso?;How valid is that?
¿Qué tan viable es esto?;How feasible is this?
¿Será este el momento adecuado?;Could this be the right time?
¿Será esto lo más conveniente?;Is this really the best option?
¿Será esto suficiente para avanzar?;Will this be enough to move forward?
¿Será realmente necesario?;Is it really necessary?
¿Será suficiente?;Will that be enough?
¿Y si algo sale mal?;What if something goes wrong?
¿Y si el plan falla?;What if the plan fails?
¿Y si el problema es otro?;What if the issue is something else?
¿Y si estamos equivocados desde el principio?;What if we’ve been wrong from the start?
¿Y si estamos equivocados?;What if we’re wrong?
¿Y si estamos ignorando algo clave?;What if we’re ignoring something crucial?
¿Y si estamos interpretándolo mal?;What if we’re interpreting this the wrong way?
¿Y si estamos pasando algo por alto?;What if we’re overlooking something?
¿Y si estamos resolviendo el problema equivocado?;What if we’re solving the wrong problem?
¿Y si estamos viendo solo una parte?;What if we’re only seeing part of it?
¿Y si esto cambia de repente?;What if this changes suddenly?
¿Y si esto cambia inesperadamente?;What if this changes unexpectedly?
¿Y si esto cambia?;What if this changes?
¿Y si esto no resulta como pensamos?;What if this doesn’t turn out the way we think?
¿Y si esto no tiene el resultado esperado?;What if this doesn’t lead to the expected outcome?
¿Y si lo estamos entendiendo mal?;What if we’re misunderstanding it?
¿Y si no estamos interpretando bien la situación?;What if we’re not reading the situation correctly?
¿Y si no estamos viendo algo?;What if we’re missing something?
¿Y si no estamos viendo el panorama completo?;What if we’re not seeing the full picture?
¿Y si no estamos viendo el verdadero problema?;What if we’re not seeing the real issue?
¿Y si no logramos lo esperado?;What if we don’t achieve what we expect?
¿Y si no resulta?;What if it doesn’t work out?
¿Y si no sale como esperamos?;What if it doesn’t go as expected?
¿Y si no tenemos razón?;What if we’re not right?
No acabo de entenderlo.;I still don’t fully understand it.
No acabo de verlo claro.;I still can’t clearly see it.
No estoy completamente seguro.;I’m not entirely certain.
No estoy convencido todavía.;I’m not convinced yet.
No estoy del todo convencido.;I’m not entirely convinced.
No estoy del todo tranquilo.;I’m not entirely at ease about it.
No estoy seguro de si eso funcionará.;I’m not sure whether that will work.
No lo tengo confirmado.;I don’t have that confirmed.
No lo tengo tan claro.;I’m not too sure about that.
No lo veo del todo claro.;I’m not completely sure about it.
No lo veo tan claro.;I’m not so sure about that.
No lo veo tan evidente.;I don’t see it as that obvious.
No lo veo tan sencillo.;I don’t see it as that simple.
No lo veo tan simple.;I don’t see it as that simple.
No logro entenderlo del todo.;I can’t fully understand it.
No me cierra del todo.;It doesn’t completely add up to me.
No me convence completamente.;I’m not completely convinced.
No me convence del todo.;I’m not fully convinced.
No me cuadra.;It doesn’t make sense to me.
No me da buena espina.;I have a bad feeling about it.
No me da certeza.;It doesn’t give me certainty.
No me da tranquilidad.;It doesn’t give me peace of mind.
No me deja conforme.;I’m not satisfied with that.
No me deja convencido.;I’m not fully persuaded.
No me deja del todo tranquilo.;It doesn’t make me feel completely at ease.
No me deja tranquilo.;It doesn’t sit right with me.
No me parece lo bastante sólido.;I don’t think this is solid enough.
No me parece lo suficientemente claro.;I don’t think this is clear enough.
No me parece suficiente.;I don’t think that’s enough.
No me parece tan claro.;It doesn’t seem that clear to me.
No me parece tan confiable.;It doesn’t seem that reliable to me.
No me parece tan evidente.;It doesn’t seem that obvious to me.
No me parece tan obvio.;It doesn’t seem that obvious to me.
No me parece tan seguro.;It doesn’t seem that safe to me.
No me queda del todo claro.;I’m not completely clear on that.
No me siento convencido.;I don’t feel convinced.
No me siento del todo cómodo.;I don’t feel completely comfortable.
No me siento del todo seguro.;I’m not entirely sure about this.
No me termina de cerrar.;It doesn’t fully add up to me.
No me termina de convencer esta idea.;I’m not fully convinced by this idea.
No me termina de convencer la explicación.;The explanation doesn’t fully convince me.
No me termina de cuadrar.;It doesn’t fully make sense to me.
No me termina de dar confianza.;I’m still not confident about it.
No me termina de hacer sentido.;It still doesn’t quite make sense to me.
No me transmite confianza.;It doesn’t inspire confidence.
No sé cómo interpretarlo.;I’m not sure how to interpret it.
No sé cómo reaccionar ante esto.;I’m not sure how to react to this.
No sé cómo reaccionar.;I’m not sure how to react.
No sé cómo tomarlo.;I’m not sure how to take it.
No sé qué conclusión sacar.;I’m not sure what conclusion to draw.
No sé qué decisión tomar.;I’m not sure what decision to make.
No sé qué esperar de esto.;I’m not sure what to expect from this.
No sé qué esperar.;I don’t know what to expect.
No sé qué pensar.;I don’t know what to think.
No sé si avanzar con esto.;I’m not sure whether to move forward with this.
No sé si confiar del todo.;I’m not sure I fully trust this.
No sé si confiar en eso.;I’m not sure whether to trust that.
No sé si es el mejor momento.;I’m not sure if this is the right time.
No sé si es el momento indicado.;I’m not sure if this is the right moment.
No sé si eso sea correcto.;I’m not sure that’s right.
No sé si eso tiene fundamento.;I’m not sure that has any basis.
No sé si estamos considerando todo.;I’m not sure we’re considering everything.
No sé si estamos listos para esto.;I’m not sure we’re ready for this.
No sé si estamos listos.;I’m not sure we’re ready.
No sé si esto alcance.;I’m not sure this will be enough.
No sé si esto es confiable.;I’m not sure this is reliable.
No sé si esto es correcto.;I’m not sure this is right.
No sé si esto es realista.;I’m not sure if this is realistic.
No sé si esto es sostenible a largo plazo.;I’m not sure this is sustainable in the long run.
No sé si esto es sostenible.;I’m not sure if this is sustainable.
No sé si esto realmente funcione.;I’m not sure this will actually work.
No sé si esto sea tan simple.;I’m not sure it’s that simple.
No sé si esto tenga sentido.;I’m not sure if this makes sense.
No sé si esto tiene lógica.;I’m not sure if this makes sense.
No sé si esto vale la pena.;I’m not sure this is worth it.
No sé si estoy de acuerdo.;I’m not sure if I agree.
No sé si sea coincidencia.;I’m not sure if that’s a coincidence.
No sé si sea la mejor opción.;I’m not sure if it’s the best option.
No sé si sea suficiente.;I’m not sure if that will be enough.
No sé si seguir adelante.;I’m not sure whether to move forward.
No sé si tomarlo en serio.;I’m not sure whether to take it seriously.
No sé si valga la pena.;I’m not sure if it’s worth it.
No tengo claro qué pensar.;I’m not sure what to think.
No tengo evidencia suficiente.;I don’t have enough evidence.
No tengo suficiente claridad.;I don’t have enough clarity.
No termino de confiar en ese enfoque.;I’m not fully confident in that approach.
No termino de entender.;I’m still not quite getting it.
No termino de verlo.;I’m still not seeing it.
Tengo ciertas reservas.;I have some reservations.
Tengo mis dudas.;I have my doubts.
