Luisa, tengo una pregunta en La Canción del Libro de Salomón capítulo uno verso 5;Luisa, I have a question in The Book Song of Solomon chapter one verse 5
y las hijas de Jerusalén que son ellos, también la iglesia, es también la iglesia.;and the daughters of Jerusalem who are they, well the church as well, it is the church as well.
Y por eso en un Salmo el Señor dice;And that is why in a Psalm the Lord says
y vuestros hijos los hijos de Sion, porque Sión es la iglesia;and your children the children of Zion, because Zion is the church
y los hijos de Sión son también la iglesia,;and the children of Zion is the church as well,
pero de una manera poética Dios separa uno del otro para que podamos entender mejor el significado de lo que Dios quiere enseñarnos,;but in a poetic way God separates one from the other so that we may understand better the meaning of what God wants to teach us,
y quiere que comprendamos y comprendamos lo que es la iglesia.;and he wants us to understand and comprehend what the church is.
¿Qué significa ser los hijos de Dios?;What does it mean to be the children of God?
¿Qué significa ser la esposa del Señor?;What does it mean to be the wife of the Lord?
La Canción de Salomón son palabras de Alabado que el esposo el Señor Jesucristo da su iglesia;The Song of Solomon are words of Praise that the husband the Lord Jesus Christ gives his church
y la iglesia también le da, y hace una comparación como si fuera un humano normal a una mujer que es un humano normal.;and the church also gives him, and he makes a comparison as if he was a normal human to a woman who is a normal human.
Por eso el mundo da falsas interpretaciones de la Biblia,;That is why the world gives false interpretations of the Bible,
y comienzan a decir que algunos dicen en la filosofía humana que el rey Salomón alababa a su esposa,;and they begin to say some say in human philosophy they said that King Solomon was praising his wife,
eso es mentira porque tenía muchas esposas, ¿verdad?;well that's a lie because he had many wives, right?
Y así aquí está hablando de una esposa, una esposa en Apocalipsis dice que un día el Señor Jesucristo será derrocado;And so here it is talking about one wife, one wife in Revelation it says that one day the Lord Jesus Christ will be betrothed
y habrá una boda con la iglesia, y así en el sentido espiritual que la iglesia necesita ser blanca Pura Limpia.;and there will be a wedding with the church, and so in the spiritual sense that church needs to be white Pure Clean.
Él los va a cerrar con vestidos blancos y todos sus pecados,;He is going to close them with white garments and all of their sins,
y si su vida anterior si fuera roja se convertirían en blanco blanco como nieve o blanco como lana como también dijo.;and if their previous life if it was red they would become white white as snow or white as wool as he also said.
Es por eso que cuando leemos La Canción de Salomón no vamos a ser rechazados dando una interpretación física literal sino espiritual,;That is why when we read The Song of Solomon we are not going to be turned away by giving a physical literal interpretation but a spiritual one,
la iglesia y Jesucristo y las palabras hermosas y estas metáforas que se utilizan.;the church and Jesus Christ and the beautiful words and these metaphors that are used.
Usa metáforas, usa hiperboles, usa palabras que pueden ser contradictorias que embellecen;He uses metaphors, he uses hyperboles, he uses words that may be contradictory that beautify
y magnificar el significado de lo que está hablando.;and magnify the meaning of what he is talking about.
Así que cuando ella dice que estoy oscuro pero encantador significa que solo significa que el sol le disparó;So when she says I am dark but lovely it just means that it just means the sun Shone on her
y ahora está oscura, y también dice que no me mires porque estoy oscuro porque el sol me ha bronceado.;and now she's dark, and it also says do not look upon me because I am dark because the sun has tanned me.
Los hijos de mi madre estaban enfadados conmigo, ¿quién estaba enfadado?;My mother's sons were angry with me, who were angry?
Bueno, los judíos que no creían en el Señor Jesucristo;Well, the Jews that did not believe in the Lord Jesus Christ
y la Iglesia del Señor comenzó con los apóstoles,;and the Church of the Lord began with the apostles,
y cuando los apóstoles predicaban el evangelio del Señor que estaban enojados contra ellos los judíos,;and when the apostles were preaching the gospel of the Lord who were angry against them the Jews,
ellos los persiguieron para tomar su vida y para ellos no predicar el evangelio más tiempo.;they persecuted them to take their life and for them not to preach the gospel any longer.
Así que todo esto está escrito simbólica y metafóricamente. Esto es lo hermoso de la palabra de Dios.;So all of this is written symbolically and metaphorically. This is the beautiful thing about God's word.
Esto es lo hermoso de la Biblia. Es un libro poético,;This is the beautiful thing about the Bible. It is a poetic book,
es un libro que necesita ser interpretado poéticamente no literalmente.;it is a book that needs to be interpreted poetically not literally.
Es un hermoso libro donde Dios se dirige a sus hijos, y también debemos aprender a orar;It is a beautiful book where God addresses his children, and we should also learn to pray
y dirigirse a Nuestro Dios simbólica y metafóricamente, y con toda esa semejanza hablar al Señor diciendo: Señor,;and address Our God symbolically and metaphorically, and with all of that likeness to speak to the Lord saying, Lord,
eres nuestro tesoro, he encontrado el tesoro escondido y eres tú.;you are our treasure, I have found the hidden treasure and it is you.
