Hermana, tengo dos preguntas, una personal y una de la Biblia.;Sister, I have two questions, one personal and one from the Bible.
El Imperio Romano porque el Imperio Romano gobernó durante 500 años y gobernó casi todo el mundo.;The Roman Empire because the Roman Empire ruled for 500 years and it ruled almost the entire world.
Nombraban a los Césares. No eran reyes sino Césares. Y muchas de estas personas eran muy malvadas.;They appointed the Caesars. They weren't kings but Caesars. And many of these people were very evil.
Y dado que el evangelio del Señor Jesucristo ya estaba allí, había mucha persecución de los cristianos.;And since the gospel of the Lord Jesus Christ was already there, there was a lot of persecution of the Christians.
Los seguidores del Señor y también el pueblo, los que creían en el Señor en el evangelio.;The followers of the Lord and also the people, those who believed in the Lord in the gospel.
Bueno, dado que venían de los romanos que eran idólatras que tenían todos sus ídolos, sus dioses.;Well, since they came from the Romans who were idolaters who had all their idols, their gods.
Para cada cosa había un Dios. Esos romanos mezclaron sus ideas religiosas idólatras con el cristianismo, con la palabra del Señor.;For each thing there was a God. Those Romans mixed their idolatrous religious ideas with Christianity with the word of the Lord.
Por eso el Señor enfatiza tanto aquí en el capítulo 13 que dice que esa bestia tenía siete cabezas y diez cuernos.;That's why the Lord emphasizes so much here in chapter 13 that says that beast had seven heads and 10 horns.
Y en sus cuernos diez coronas y en sus cabezas un nombre blasfemo porque blasfemaban la palabra de Dios.;And on his horns 10 crowns and on his heads a blasphemous name because they blasphemed the word of God.
Y dice que la bestia que vi era semejante a un leopardo.;And it says the beast which I saw was like a leopard.
Así que en la historia vemos que existió ese gobierno y todos esos gobernantes, Césares, y eran muy malvados.;So in history we see that there was that government and all those rulers, Caesars and they were very evil.
Sacrificaban a los cristianos, a los hijos de Dios. Los perseguían. Los mataban.;They sacrificed the Christians, the children of God. They persecuted them. They killed them.
Bueno, hacían muchas cosas. Pero según el Señor aquí, él también tiene un castigo para ellos.;Well, they did many things. But according to the Lord here, he also has a punishment for them.
Tiene un castigo para toda esa gente. Y no solo para toda esa gente que existió en ese tiempo, sino por lo que dejaron atrás.;He has a punishment for all those people. And not only all those people who existed at that time, but for what they left behind.
Todo lo que dejaron atrás, los descendientes de la religión de la idolatría, de toda la persecución.;Everything they left behind, the descendants of the religion of idolatry, of all the persecution.
Todo eso, a medida que han pasado los años, a medida que han pasado las generaciones.;All that, as the years have passed, as the generations have passed.
Bueno, vienen personas seguidoras de esas ideas, de todos esos ideales religiosos.;Well, people come, followers of those ideas, of all those religious ideals.
Todo eso ha continuado en el mundo y hoy vemos una mezcla en el mundo de religiones.;All that has continued in the world and today we see a mix in the world of religions.
Uno ve la idolatría cómo continúa, cambian los nombres, cada país tiene sus dioses especiales, sus creencias. Así que estas son estas bestias.;One sees the idolatry how it continues, they change the names, each country has its special gods, its beliefs. So these are these beasts.
Cuando lees todo, leemos la manera en que Dios finalmente castiga a estas bestias que son poderes.;When you read all of it, we read the way God ultimately punishes these beasts which are powers.
Son gobiernos que gobiernan el mundo de cierta manera, ideas religiosas, pensamientos sociales que gobiernan el mundo.;They are governments that rule the world in a way, religious ideas, social thoughts that rule the world.
Que convencen a la gente, los alejan del camino de Dios y enseñan ideas erróneas.;That convince people, lead them away from God's path and teach erroneous ideas.
Errores y todo eso, que es lo que hemos visto y escuchado a lo largo de la historia a través del estudio, a través de todo.;Errors and all that, which is what we have seen and heard throughout history through study, through everything.
Escuchamos tantas cosas que han existido desde la antigüedad y hoy estamos aquí ante el Señor.;We hear so many things that have been since antiquity and today we are here before the Lord.
Pero somos como esas personas que salieron de una guerra, que salieron de un fuego y hubo esa escapatoria.;But we are like those people who came out of a war, who came out of a fire and there was that escape.
Escapamos de las manos del enemigo y de todas esas creencias e ideologías.;We escaped from the hands of the enemy and from all those beliefs and ideologies.
Hoy el Señor nos está rescatando. Nos está sacando de todas esas creencias, de todas esas cosas del mundo.;Today the Lord is rescuing us. He is taking us out of all of that beliefs, all those things of the world.
De la gente, de todas esas ideas y todo lo que escuchamos hoy a través de los medios de comunicación.;Of people, all those ideas and everything that we hear today through the media.
Y el pecado que también ha abundado y abunda y cada vez el pecado aumenta y con él más maldad.;And the sin that has also abounded and abounds and each time sin increases and with it more wickedness.
Así que vemos que estamos siendo rescatados y el Señor nos está llevando a un mundo mejor y diferente.;So we see that we are being rescued and the Lord is leading us to a better different world.
Aunque vivimos en esta misma tierra, ya estamos siendo apartados a un mundo nuevo y diferente con Dios.;Even though we live on this same earth, we are already being set apart to a new different world with God.
Y este mundo que Dios mostró aquí con estas dos bestias, bueno, continúa.;And this world that God showed here with these two beasts, well, it continues.
Continúa, pero Dios lo nombra como una figura, una figura que representa un gobierno, una entidad, un pensamiento social global. Eso es lo que son estas bestias.;It continues, but God names it as a figure, a figure that represents a government, an entity, a global social thought. That's what these beasts are.
Así que Dios no dirá: "No, el señor fulano se levantará y formará ideales y religiones.";So God won't say, "No, Mr. So and so will rise and form ideals and religions."
No, una bestia, una bestia que está llena de miles y miles de demonios, espíritus que son enemigos de Dios y que invaden el mundo.;No, a beast, a beast that is filled with thousands and thousands of demons, spirits that are enemies of God and that invade the world.
La mentalidad de toda la gente y eso es lo que ves cuando siempre lees en Apocalipsis.;The mindset of all people and that's what you see when you always read in Revelation.
El Señor habla de una mujer, de una ramera. Y la mujer ramera es lo mismo.;The Lord speaks of a woman, to a harlot. And the harlot woman is the same.
La mujer ramera también es una entidad religiosa global que domina y hace el mal ante Dios.;The harlot woman is also a global religious entity that dominates and does evil before God.
Induce a la gente a llevar una vida pecaminosa en maldad.;Induces people to lead a sinful life in wickedness.
Así que Dios debe castigar a esa ramera, pero esa ramera son millones de personas.;So God must punish that harlot but that harlot is millions of people.
Millones allí que siguen todas esas creencias y todas esas idolatrías y todo ese pecado.;Millions there who are following all those beliefs and all those idolatries and all that sin.
Así que todo eso junto forma una mujer ramera. Así que imagina que esta mujer es tan grande como la tierra, esa mujer.;So all of that together forms a harlot woman. So imagine that this woman is as big as the earth, that woman.
Así que esa mujer está allí, el pueblo.;So that woman is there, the people.
Así que la gente que peca y la gente que hace maldad y que peca, bueno, pertenecen al cuerpo de la ramera.;So the people who sin and the people who are doing wickedness and who sin well they belong to the body of the harlot.
Al cuerpo de esa mujer ramera, y eso es Apocalipsis.;To the body of that harlot woman, and that's Revelation.
Así es como entendemos un poco sobre Apocalipsis con estos monstruos que el Señor menciona.;That's how we understand a little bit about Revelation with these monsters that the Lord mentions.
Y estas bestias y estos animales, todo eso son personajes o entidades o gobiernos o pensamientos sociales.;And these beasts and these animals, all of that are characters or entities or governments or social thoughts.
Que están allí dominando el mundo, parte del mundo. Esas son esas bestias.;That are there dominating the world, part of the world. Those are those beasts.
Cuando lees Apocalipsis, no te asustes. No te pongas ansioso.;When you read Revelation, don't get scared. Don't get anxious.
Toma todo esto simbólicamente como una figura, como una figura representativa de un ideal o una religión muy poderosa.;Take all of this symbolically as a figure, as a representative figure of an ideal or a very powerful religion.
Muy grande en el mundo que quiere dominar y engañar a la gente. Esas son las bestias.;Very large in the world that wants to dominate and deceive people. Those are the beasts.
Pero el Señor allá al final de Apocalipsis dice que al final cuando venga el juicio.;But the Lord there at the end of Revelation says that in the end when the judgment comes.
Dice que todos van al lago de fuego y solo los hijos de Dios, los creyentes en Cristo Jesús en el evangelio son salvos.;It says that everyone is going to the lake of fire and only the children of God, the believers in Christ Jesus in the gospel are saved.
Ellos son los únicos que reinarán con el Señor.;They are the only ones who will be reigning with the Lord.
Dice que incluso la muerte va al lago de fuego. La muerte es un espíritu.;It says that even death is going to the lake of fire. Death is a spirit.
Así que dice que la muerte también va al lago de fuego. El diablo va al lago de fuego con todos sus seguidores y toda esa maldad.;So it says that death is also going to the lake of fire. The devil is going to the lake of fire with all his followers and all that wickedness.
Dice que el falso profeta, la bestia, la ramera, todos van al lago de fuego.;It says that the false prophet, the beast, the harlot, all are going to the lake of fire.
Así que ves quién pertenece a esos monstruos, esas bestias. Bueno, personas, seres humanos, seguidores haciendo el mal.;So you see who belongs to those monsters, those beasts. Well, people, human beings, followers doing evil.
Por eso nos esforzamos por evangelizar a nuestras familias, amigos, parientes.;That's why we strive to evangelize our families, friends, relatives.
Deseamos que nuestras familias también asistan a la iglesia, conozcan a Dios, disfruten de la presencia del Espíritu Santo.;We wish that our families also attend church, know God, enjoy the presence of the Holy Spirit.
Disfruten de la guía, el consuelo que Dios da a través del espíritu.;Enjoy the guidance, the comfort that God gives through the spirit.
Así que deseamos eso y le damos gracias a Dios por habernos sacado de allí, de esa ramera, de esas bestias, de todas esas cosas.;So we desire that and we thank God for having taken us out of there, out of that harlot, out of those beasts, out of all those things.
Sigan leyendo Apocalipsis de nuevo desde el principio varias veces y verán que entienden mejor.;Keep reading Revelation again from the beginning several times and you will see that you understand better.
