Hermana, buenas noches. Dios te bendiga. Quería hacer una pregunta sobre la Biblia.;Sister, good evening. God bless you. I wanted to ask a question about the Bible.
No se manifiesta allí. Esa es la señal que debemos buscar.;He doesn't manifest himself there. That's the sign we should look for.
¿Dios habla en tu iglesia? ¿Hace milagros;Does God speak in your church? Does he perform miracles
¿y señales? ¿Te da paz? Si no, estás en el camino equivocado.;and signs? Does he give you peace? If not, you're on the wrong path.
Descartemos esas versiones modernas y sigamos leyendo la Biblia que siempre hemos tenido.;So, let's discard those modern versions and continue reading the Bible we've always had.
Estaba pidiendo más desde la perspectiva de uh bueno, ya nos has dado mucha información, hermana,;I was asking more from the perspective of uh well, you've already given us a lot of insight, sister,
pero digamos que evitamos entrar en esos debates. No hay necesidad de discutir.;but let's say so we avoid getting into those debates. There's no need to debate.
¿Por qué discutir con personas insensatas, rebeldes e incrédulas que no aceptarán nada?;Why argue with foolish, rebellious, unbelieving people who won't accept anything?
Evite los debates. Si estos son amigos que te importan, simplemente di: 'En la iglesia a la que asisto, Dios se manifiesta.;Avoid debates. If these are friends you care about, simply say, 'In the church I attend, God manifests himself.
Hay milagros. Hay señales. Dios da paz y felicidad.;There are miracles. There are signs. God gives peace and happiness.
Él habla a través de los dones espirituales. Es una experiencia maravillosa.;He speaks through the spiritual gifts. It's a wonderful experience.
Te invito a venir un día y experimentarlo por ti mismo.;I invite you to come one day and experience it for yourself.
No te estoy diciendo que dejes tu iglesia, pero que vengas;I'm not telling you to leave your church, but to come
y sentir algo diferente. La presencia de Dios. Es suficiente.;and feel something different. The presence of God. That's enough.
Sin debates, sin argumentos.;No debates, no arguments.
