Mi segunda pregunta está en Santiago 3, versículos 6 al 9.;My second question is in James 3, verses 6 to 9.
Bueno, resulta que tampoco podemos culpar a la pobre lengua porque lo que sale de aquí, lo que hablamos, viene del corazón.;Well, it turns out that we can't blame the poor tongue either because what comes out of here, what we speak comes from the heart.
El corazón es donde residen todo el bien y todo el mal en una persona.;The heart is where all the good and all the evil in a person reside.
Si alguien elige ser malvado, entonces todo lo malo viene de su corazón.;If someone chooses to be evil, then everything bad comes from their heart.
Y cada vez que hace algo malo, comienza en el corazón.;And every time they do something bad, it starts in the heart.
Luego pasa a la mente para ser procesado, para ser tramado, para planear cómo lo van a llevar a cabo.;Then it moves to the mind to be processed, to be schemed out, to plan how they're going to carry it out.
El mal se proyecta desde el corazón hacia el pensamiento, hacia la intención.;The evil is projected from the heart into thought, into intention.
Así que el mal sale del corazón. Va a los pensamientos para procesarlo. Es como un laboratorio, como dicen algunos, y yo lo creo.;So evil comes out of the heart. It goes to the thoughts to process it. It's like a laboratory as some say and I believe it.
De ahí pasa a la lengua porque si no hay lengua en la boca, bueno, nada puede ser hablado.;From there it moves to the tongue because if there's no tongue in the mouth well nothing can be spoken.
Así que la usa para eso, para dar órdenes, para tomar decisiones, ya sean buenas o malas, lo que sea.;So it uses the tongue for that to give orders, to make decisions whether good or bad, whatever they may be.
Usamos nuestra lengua para hablar, pero usémosla para hablar bien, para hacer el bien, para agradar a Dios, para cantar a Dios.;We use our tongue to speak but let's use it to speak good, to do good, to please God, to sing to God.
Usamos nuestra boca para alimentarnos, pero siempre queremos hacer cosas buenas.;We use our mouth to feed ourselves but we always want to do good things.
Que no haya maldad en nuestro corazón porque si la hay nos volvemos incircuncisos de corazón.;Let there be no evil in our heart because if there is we become uncircumcised in heart.
Y entonces comenzaríamos a hacer el mal, a mentir, a blasfemar, a calumniar, a engañar a la gente, todo eso desde allí.;And then we would start to do evil, to lie, to blaspheme, to slander, to deceive people, all of that from there.
Así que el apóstol concluía diciéndole a la gente, a los creyentes: "Sean prudentes. Cuiden su habla. Cuiden su boca. Cuiden su lengua en lo que van a decir.";So the apostle was concluding by telling the people, the believers, "Be prudent. Watch your speech. Watch your mouth. Watch your tongue for what you're going to say."
Antes de hablar, piensen muy bien en lo que van a decir para no ofender. Para no destruir a nadie.;Before you speak, think very well about what you're going to say so you don't offend. So you don't destroy anyone.
Para no meterse en problemas. No se involucren en una situación seria. Piensen antes de hablar.;So you don't get yourself into problems. Don't get yourself involved in a serious situation. Think before you speak.
Si se dan cuenta de que sus pensamientos ya están procesando algo que vino del corazón, entonces hagan una pausa.;If you realize that your thoughts are already processing something that came from the heart, then pause.
Reflexionen antes de abrir la boca. Porque al final, es la pobre lengua la que se lleva la culpa, ¿no es así?;Reflect before opening your mouth. Because in the end, it's the poor tongue that takes the blame. Isn't it?
Una persona habló y mira todo el problema que causó. Esa se condenó a sí misma.;One person spoke and look at all the trouble it caused. That one condemned himself.
Otra se salvó porque fue sabia. Pero la otra, se condenó a sí misma por ser descuidada.;Another was saved because he was wise. But the other, he condemned himself for being careless.
Así que eso es lo que el apóstol quería decir aquí sobre la lengua.;So that's what the apostle wanted to say here about the tongue.
Que no es solo la lengua la que actúa, sino que en realidad es el corazón, las intenciones detrás de las palabras.;That it's not just the tongue at work but it's really the heart, the intentions behind the words.
Por eso debemos ser prudentes, sabios y cuidadosos con lo que decimos.;That's why we must be prudent, wise and careful with what we say.
Nuestras palabras siempre deben apuntar a hacer el bien, a ser justos, a agradar a Dios.;Our words should always aim to do good, to be just, to please God.
Y a traer paz y alegría a quienes nos rodean.;And to bring peace and joy to those around us.
