¿A qué te refieres?;What do you mean?
Se me juntaron los problemas.;Everything went wrong at once.
Se me juntó todo.;Everything piled up at once.
Se me notó.;It showed.
Se me olvidó por completo.;It completely slipped my mind.
Se me pasó decirte.;I forgot to tell you.
Se me pasó la emoción.;The excitement wore off.
Se me pasó por alto.;I overlooked it.
Se me salió.;It just slipped out.
Se me vino a la cabeza.;It suddenly came to mind.
Se me vino encima.;It all hit me at once.
Te acompaño.;I’ll go with you.
Te toca.;It’s your turn.
Ya era hora.;It’s about time.
Ya veremos.;We’ll see.
