Levántense con energía;Wake up with energy;Alzatevi con energia;Levantem-se com energia
No olviden la chaqueta;Don't forget your jacket;Non dimenticate la giacca;Não se esqueçam do casaco
Es hora de descansar un poco;It's time to rest a little;È ora di riposare un po';É hora de descansar um pouco
Limpien sus zapatos;Clean your shoes;Pulite le scarpe;Limpem os sapatos
Guarden sus juguetes en la caja;Put your toys in the box;Mettete i giocattoli nella scatola;Guardem os brinquedos na caixa
Vamos a escuchar música;Let's listen to music;Ascoltiamo la musica;Vamos ouvir música
No interrumpan cuando alguien habla;Don't interrupt when someone is talking;Non interrompete quando qualcuno parla;Não interrompam quando alguém fala
Respeten a sus maestras;Respect your teachers;Rispettate le maestre;Respeitem as professoras
No olviden hacer la cama;Don't forget to make your bed;Non dimenticate di rifare il letto;Não se esqueçam de arrumar a cama
Ayuden a doblar la ropa;Help fold the clothes;Aiutate a piegare i vestiti;Ajudem a dobrar as roupas
Recojan la basura;Pick up the trash;Raccogliete la spazzatura;Recolham o lixo
Lleven los platos a la cocina;Take the plates to the kitchen;Portate i piatti in cucina;Levem os pratos para a cozinha
Ayuden a barrer la sala;Help sweep the living room;Aiutate a spazzare il salotto;Ajudem a varrer a sala
No olviden ser amables;Don't forget to be kind;Non dimenticate di essere gentili;Não se esqueçam de serem gentis
Sean pacientes con los demás;Be patient with others;Siate pazienti con gli altri;Sejam pacientes com os outros
Vamos a hacer una manualidad;Let's do a craft;Facciamo un lavoretto;Vamos fazer um artesanato
Digan la verdad siempre;Always tell the truth;Dite sempre la verità;Digam sempre a verdade
No olviden saludar al entrar;Don't forget to greet when entering;Non dimenticate di salutare entrando;Não se esqueçam de cumprimentar ao entrar
Vamos a plantar una flor;Let's plant a flower;Piantiamo un fiore;Vamos plantar uma flor
Cuiden a la mascota;Take care of the pet;Prendetevi cura dell'animale;Cuidem do animal
No olviden dar gracias a Dios;Don't forget to thank God;Non dimenticate di ringraziare Dio;Não se esqueçam de agradecer a Deus
Vamos a practicar inglés;Let's practice English;Facciamo pratica di inglese;Vamos praticar inglês
Vamos a practicar matemáticas;Let's practice math;Facciamo pratica di matematica;Vamos praticar matemática
Ordenen los libros;Organize the books;Mettete in ordine i libri;Arrumem os livros
Recojan las toallas;Pick up the towels;Raccogliete gli asciugamani;Recolham as toalhas
Es hora de cambiarse de ropa;It's time to change clothes;È ora di cambiarsi;É hora de trocar de roupa
Pónganse las sandalias;Put on your sandals;Mettetevi i sandali;Calcem as sandálias
No olviden la mascarilla;Don't forget your mask;Non dimenticate la mascherina;Não se esqueçam da máscara
Vamos a pintar un dibujo;Let's paint a drawing;Disegniamo un disegno;Vamos pintar um desenho
Vamos a escribir una carta;Let's write a letter;Scriviamo una lettera;Vamos escrever uma carta
Respeten a los mayores;Respect the elders;Rispettate gli anziani;Respeitem os mais velhos
Compartan la merienda;Share the snack;Condividete la merenda;Compartilhem o lanche
Es hora de ordenar el cuarto;It's time to tidy up the room;È ora di mettere in ordine la stanza;É hora de arrumar o quarto
Vamos a descansar un ratito;Let's rest for a while;Ripossatevi un po';Vamos descansar um pouco
Dejen de hacer ruido;Stop making noise;Smettetela di fare rumore;Parem de fazer barulho
Apaguen el ventilador;Turn off the fan;Spegnete il ventilatore;Desliguem o ventilador
Cierren la refrigeradora;Close the fridge;Chiudete il frigorifero;Fechem a geladeira
Guarden el pan;Put away the bread;Mettete via il pane;Guardem o pão
Vamos a salir al parque;Let's go to the park;Andiamo al parco;Vamos sair para o parque
Es hora de jugar afuera;It's time to play outside;È ora di giocare fuori;É hora de brincar fora
No olviden ponerse bloqueador;Don't forget to wear sunscreen;Non dimenticate di mettere la crema solare;Não se esqueçam de passar protetor solar
Usen gorra para el sol;Wear a cap for the sun;Mettete il cappello per il sole;Usem boné para o sol
No se ensucien la ropa;Don't get your clothes dirty;Non sporcate i vestiti;Não sujem a roupa
Es hora de limpiar la mesa;It's time to clean the table;È ora di pulire la tavola;É hora de limpar a mesa
Vamos a regar las plantas;Let's water the plants;Annaffiamo le piante;Vamos regar as plantas
Recojan los lápices;Pick up the pencils;Raccogliete le matite;Recolham os lápis
Vamos a hacer origami;Let's do origami;Facciamo origami;Vamos fazer origami
Es hora de colorear;It's time to color;È ora di colorare;É hora de colorir
Vayan a ponerse perfume;Go put on perfume;Mettetevi il profumo;Vão passar perfume
Cepíllense las uñas;Brush your nails;Spazzolatevi le unghie;Escovem as unhas
Es hora de ordenar los juguetes;It's time to organize the toys;È ora di mettere in ordine i giocattoli;É hora de arrumar os brinquedos
Vamos a dormir la siesta;Let's take a nap;Facciamo un pisolino;Vamos tirar uma soneca
Pidan las cosas por favor;Ask for things politely;Chiedete le cose per favore;Peçam as coisas por favor
Den gracias siempre;Always give thanks;Ringraziate sempre;Agradeçam sempre
Vamos a jugar a las escondidas;Let's play hide and seek;Giochiamo a nascondino;Vamos brincar de esconde-esconde
Vamos a jugar a la pelota;Let's play ball;Giochiamo a palla;Vamos jogar bola
No olviden los calcetines;Don't forget your socks;Non dimenticate i calzini;Não se esqueçam das meias
No olviden la tarea de arte;Don't forget the art homework;Non dimenticate il compito di arte;Não se esqueçam do dever de arte
Vamos a cantar villancicos;Let's sing Christmas carols;Cantiamo canzoni di Natale;Vamos cantar canções de Natal
Vamos a preparar una torta;Let's bake a cake;Prepariamo una torta;Vamos preparar um bolo
Vamos a decorar la casa;Let's decorate the house;Decoriamo la casa;Vamos decorar a casa
Es hora de limpiar la habitación;It's time to clean the room;È ora di pulire la stanza;É hora de limpar o quarto
Guarden las mantas;Put away the blankets;Mettete via le coperte;Guardem as cobertas
Doblen la ropa limpia;Fold the clean clothes;Pieghiamo i vestiti puliti;Dobrem as roupas limpas
Vamos a preparar jugo;Let's make juice;Prepariamo il succo;Vamos preparar suco
No olviden lavarse los dientes después de comer;Don't forget to brush your teeth after eating;Non dimenticate di lavarvi i denti dopo aver mangiato;Não se esqueçam de escovar os dentes depois de comer
No se suban a la cama;Don't climb on the bed;Non salite sul letto;Não subam na cama
Vamos a ordenar los cojines;Let's arrange the cushions;Mettiamo a posto i cuscini;Vamos arrumar as almofadas
Apaguen el radio;Turn off the radio;Spegnete la radio;Desliguem o rádio
No olviden ser respetuosos;Don't forget to be respectful;Non dimenticate di essere rispettosi;Não se esqueçam de serem respeitosos
Vamos a rezar antes de comer;Let's pray before eating;Preghiamo prima di mangiare;Vamos rezar antes de comer
Vamos a preparar chocolate caliente;Let's make hot chocolate;Prepariamo la cioccolata calda;Vamos preparar chocolate quente
Vayan a ponerse pijama;Go put on pajamas;Mettetevi il pigiama;Vão colocar o pijama
Vamos a hacer galletas;Let's bake cookies;Prepariamo i biscotti;Vamos fazer biscoitos
Es hora de escribir en el diario;It's time to write in the diary;È ora di scrivere nel diario;É hora de escrever no diário
Sonrían más seguido;Smile more often;Sorridete più spesso;Sorriam mais vezes
Vamos a jugar un juego de mesa;Let's play a board game;Giochiamo a un gioco da tavolo;Vamos jogar um jogo de tabuleiro
Es hora de dormir profundamente;It's time to sleep deeply;È ora di dormire profondamente;É hora de dormir profundamente
Vamos a soñar cosas bonitas;Let's dream nice things;Sogniamo cose belle;Vamos sonhar coisas bonitas
