Voy a leer en 1 Reyes capítulo 4 versículo 29.;I am going to read in 1st Kings chapter 4 verse 29.
Entonces, ¿qué vemos en Proverbios? Todo lo que él observó en la vida, la vida cotidiana de las personas, sus acciones buenas y malas.;So, what do we see in Proverbs? Everything he observed in life, the daily lives of people, their good and bad actions.
Lo que estaba sucediendo, lo que iba a suceder y lo que no tenía solución. No ofrecía soluciones. Simplemente describía el comportamiento humano.;What was happening, what was going to happen, and what had no solution. He didn't offer solutions. He simply described human behavior.
El hombre necio hace las cosas de esta manera y ya está. El hombre sabio lo hace de esta manera. El hombre prudente actúa así.;The foolish man does things this way and that's it. The wise man does it this way. The prudent man acts like this.
Eso es lo que le mostró al mundo, un reflejo de la realidad que vivía la gente.;That's what he showed the world, a reflection of the reality people lived.
Así que su gran corazón, esa amplitud del corazón de Salomón estaba en ese aspecto, no solo en el conocimiento.;So, his great heart, that largeness of Solomon's heart was in that aspect, not only in knowledge.
Sino también en sus acciones y sus sentimientos hacia el pueblo y la prudencia.;But also in his actions and his feelings towards the people and prudence.
Bueno, sabemos que la prudencia significa no actuar ni hablar descuidadamente. Debemos pensar antes de hablar.;Well, we know that prudence means not acting or speaking carelessly. We must think before we speak.
Pensar antes de actuar y considerar cuidadosamente nuestras decisiones, analizar a fondo.;Think before we act, and carefully consider our decisions, analyze thoroughly.
Y evitar acciones que puedan causar problemas o dificultades más adelante.;And avoid actions that could cause problems or difficulties later on.
Si uno es imprudente, podría hacer un mal trato, ofender a alguien o incluso dañar la vida espiritual de otra persona.;If one is imprudent, they might make a bad deal, offend someone, or even harm another person's spiritual life.
La prudencia consiste en analizar, pensar y razonar antes de actuar o hablar. Implica muchas cosas, pero lo más importante es pensar primero.;Prudence is about analyzing, thinking, and reasoning before acting or speaking. It involves many things, but the most important is to think first.
No actúes descuidadamente. Considera las consecuencias. ¿Qué podría pasar si dices o haces algo? Eso es lo que realmente es la prudencia.;Don't act carelessly. Consider the consequences. What might happen if you say or do something? That is what prudence truly is.
Y Dios le dio eso a Salomón. Y Dios quiere darnos todas estas virtudes y cualidades en su camino hoy.;And God gave that to Solomon. And God wants to give us all these virtues and qualities on his path today.
Por eso se llaman los frutos del espíritu. El Espíritu Santo nos dará estas cualidades, estas virtudes.;That's why they're called the fruits of the spirit. The Holy Spirit will give us these qualities, these virtues.
Para que tengamos esa prudencia, esa sabiduría, ese conocimiento, ese amor, esa misericordia y generosidad.;So that we may have that prudence, that wisdom, that knowledge, that love, that mercy and generosity.
El Señor nos da todo esto hoy también. Así que hoy no es solo un rey como en los tiempos de Salomón.;The Lord gives all of this to us today as well. So, today it's not just a king like in Solomon's time.
Quien era el único a quien Dios dotaba de todas estas capacidades.;Who was the only one God endowed with all these capabilities.
Pero hoy el Señor nos dice a todos nosotros: "Todos tienen el derecho de recibir.";But today the Lord says to all of us, "Everyone has the right to receive."
Gracias al Señor que nos da todas estas cosas hermosas y maravillosas porque todo esto es lo que el mundo admira de nosotros.;Thanks to the Lord that he gives us all these beautiful and wonderful things because all of this is what the world admires about us.
