Hermana María Luisa, tengo una pregunta sobre la Biblia, si me lo permite.;Sister Maria Louisa, I have a question about the Bible if you allow me.
Enemistades con personas, calumnias. Muchas cosas que se levantan, que se presentan contra todos nosotros.;Enmities with people, slander. Many things that rise up, present themselves against all of us.
Y hay momentos en la vida en que decimos que tenemos tanta tribulación, tanta angustia.;And there are times in life when we say we have so much tribulation, so much distress.
Hay personas que lloran amargamente por su situación, por lo que están experimentando.;There are people who are crying bitterly because of their situation, what they are experiencing.
Así que cuando ya tenemos conocimiento de Dios, sabemos la solución: orar a Dios y pedirle a Dios.;So when we already have knowledge of God, we know the solution: to pray to God and ask God.
Bueno, hay personas que dicen: "Dios no me escucha. Dios no me oye. No sé qué está pasando.";Well, there are people who say, "God does not hear me. God does not listen to me. I don't know what is happening."
Bueno, eso también le pasó aquí al Señor Jesucristo.;Well, that also happened here to the Lord Jesus Christ.
Él oraba y el Padre no quería responderle en ese momento.;He prayed and the Father did not want to answer him at the moment.
Pero eso no significa que no continuemos firmes.;But that does not mean that we do not continue steadfast.
Debemos persistir con nuestras oraciones a Dios porque algún día Dios se cansará de escucharnos y nos responderá.;We must persist with our prayers to God because someday God will get tired of hearing us and he will answer us.
Nos responderá. Nos ayudará.;He will respond. He will help us.
Pero no debemos desanimarnos. No debemos desmayar. Debemos seguir pidiendo a Dios siempre.;But we must not be discouraged. We must not faint. We must continue asking God always.
Y nunca decir: "Señor, te escondiste de mí. Me ignoras. No me escuchas.";And never say, "Lord, you hid from me. You ignore me. You do not listen to me."
Sigue orando. Sigue pidiendo al Señor. Y en el momento menos esperado, bueno, Dios tendrá misericordia y nos escuchará.;Keep praying. Keep asking the Lord. And at the least expected moment, well, God will have mercy and will hear us.
Pero no nos desanimemos. Debemos seguir adelante. Debemos ser valientes. Debemos ser fuertes. Debemos leer mucho los Salmos.;But let's not be discouraged. We must press on. We must be courageous. We must be strong. We must read the Psalms a lot.
Porque en los Salmos aprendemos tanta doctrina. Llegamos a conocer a Dios. Aprendemos a orar. Aprendemos a alabar a Dios. Así que debemos seguir adelante.;Because in the Psalms, we learn so much doctrine. We come to know God. We learn to pray. We learn to praise God. So we must press on.
