El Señor recientemente en su misericordia nos trajo a esta nación con mi esposa por trabajo.;The Lord recently in his mercy brought us to this nation with my wife for work.
Pues aquí sí profetizamos, el Señor se manifiesta con profecía, y aquí pues el Espíritu Santo se manifiesta y hay profecía.;Well here yeah we prophesy the Lord manifests himself with prophecy and here well the Holy Spirit manifests himself and there is prophecy.
Así que la gente viene y a la gente le gusta mucho la profecía porque Dios habla a su corazón y la gente se va feliz, se pone feliz.;So people come and people really like prophecy because God speaks to their heart and people leave happy they become happy.
Así que esta fama se difunde y llega a los oídos de otras religiones, y recuerdo que en ese tiempo, estoy hablando de hace 30 años o más, que algunas iglesias evangélicas se enteraron de nuestra iglesia.;So this fame spreads and it reaches the ears of other religions and I remember at that time I'm talking about 30 years ago or more that some evangelical churches found out about our church.
Dijeron que éramos del diablo, que éramos un demonio, que éramos mentirosos, farsantes, y comenzaron a ayunar y a pedirle a Dios que nos destruyera, que nos castigara, que nos hiciera desaparecer como iglesia.;They said that we were of the devil that we were a demon that we were liars fakes and they began to fast and ask God to destroy us to punish us to make us disappear as a church.
Y un día el Espíritu Santo me dijo: hay algunos que me están clamando. El Señor me dice: algunos me claman y oran y me piden que los destruya, que los castigue.;And one day the Holy Spirit told me he told me there are some who are crying out to me the Lord tells me some cry out to me and pray and ask me to destroy you to punish you.
Pero yo los voy a castigar a ellos por hacer eso, y porque en verdad se están portando mal, los castigaré y los destruiré. El Espíritu Santo me dijo esto.;But I am going to punish them for doing that and because they are indeed behaving badly I will punish them and I will destroy them. The Holy Spirit told me this.
No entendí por qué el Señor me había dicho eso. Poco después llegó una hermana, una recién llegada a la iglesia, venía de una de esas iglesias y se quedó con nosotros porque le gustó cómo Dios le hablaba.;I did not understand why the Lord had told me that. Shortly after a sister came a newcomer to the church she came from one of those churches and stayed with us because she liked the way God spoke to her.
Así que se quedó con nosotros y luego nos contó: ¿saben que mi pastor se reunió con 80 pastores de otras 80 iglesias y todos están ayunando y orando pidiéndole a Dios que los castigue, que los destruya?;So she stayed with us then she told us she says do you know that my pastor met with 80 pastors from 80 other churches and they are all fasting and praying asking God to punish you to destroy you.
Ahí confirmé lo que el Señor, el Espíritu Santo, me había dicho. Pero lo más hermoso es que el Señor ya me había dicho: no te voy a castigar a ti, son a ellos a quienes voy a castigar.;So there I confirmed what the Lord the Holy Spirit had told me. But the most beautiful thing is that the Lord had already told me I am not going to punish you it is them that I am going to punish.
Así que Dios nos enseña. También hubo una vez una señora muy nueva, llegó y era nueva, había estado en la iglesia un par de meses, y su hija estudiaba en una escuela católica.;So God teaches us. There was also once a very new lady she arrived and was new she had been in the church for a couple of months and her daughter studied in a Catholic school.
Como estudiaban en esa escuela católica, se les obliga a hacer la primera comunión y otras cosas.;Since they studied at that Catholic school they are forced to do the first communion and other things.
Cuando llegó a nosotros, se dio cuenta de que Dios no estaba en su iglesia católica y que Dios sí se manifestaba con nosotros. Ya respetaba eso y estaba disgustada por sus hijas.;When she came to us she realized that God was not in her Catholic church and that God was indeed manifesting himself with us. She already respected that and was upset for her daughters.
Porque dijo: a mis hijas no las dejaré hacer la primera comunión, pero si no la hacen las expulsarán de la escuela porque esa era la ley en esa escuela.;Because she said my daughters I will not let them do the first communion but if they do not do the first communion then we'll be expelled from the school because that was the law in that school.
Y estaba disgustada. Pues no le dijo a nadie pero estaba preocupada, y un día pidió oración.;And she was upset. Well she didn't tell anyone but she was worried and one day she asked for prayer.
El Espíritu Santo le dice: vas a hacer algo que no deberías hacer, no deberías hacerlo, pero te lo permitiré, te daré permiso para hacerlo, pero tienes que saber que no deberías hacerlo.;The Holy Spirit tells her you are going to do something that you should not do you should not do it but I will allow you to do it I will give you permission to do that but you have to know that you should not do that.
Eso fue lo que le dijo. Cuando le pregunté: ¿qué vas a hacer que el Señor dice que no deberías hacer? ¿Qué es? Ella respondió: la primera comunión de mis hijas.;So that's what he told her. When I asked her what are you going to do that the Lord says you should not do what is it. She replied the first communion of my daughters.
Si no las dejo hacerla las expulsarán y allí no pagan colegiatura, no pagan nada para estudiar, es gratis. Así que estaba disgustada.;If I do not allow them to do it they will be expelled and they do not pay tuition there they do not pay some to study it is free. So she was upset.
Pero mira, Dios en su misericordia, ella era una recién llegada porque había estado con nosotros como un mes o dos meses, y Dios le dijo: te voy a dar permiso para hacer eso, pero no deberías hacerlo.;But look God in his mercy she was a newcomer because she had been with us for about a month or two months and God told her I am going to give you permission to do that but you should not do it.
Cuando el Señor dice que algo no debe hacerse, eso aplica para todos, ¿verdad? Para todos. Así que eso es lo que pasa.;When the Lord says that should not be done that that applies to everyone right to everyone. So that's what happens.
Así que hermano, tiene que ver a dónde va a ir. Si va a ir allá a las tumbas de hace tres siglos, no sé, donde enterraron a los indígenas, eso no tiene nada porque ya están en la tierra o se han convertido en polvo o solo hay huesos allí.;So brother you have to look at where you are going to go if you are going to go over there to the graves from three centuries ago I don't know what where they buried the indigenous people that has nothing because they are already in the earth or have become dust or there are just bones there.
Así que van y miran las excavaciones. Seguramente eso no es malo. Seguramente hay pirámides aquí, ¿verdad? Así que ir a ver las pirámides que los indígenas hicieron hace tantos siglos.;So they go and look at the excavations. Surely that is not bad. Surely there are pyramids here right. So going to see the pyramids that the indigenous people made so many centuries ago.
Pues uno mira eso y dice: ¿cómo lo hicieron? ¿Cómo cargaron las piedras? Pues eran inteligentes. Quizás eso no es malo, seguramente eso no es malo.;Well one looks at that and says how did they do it how did they carry the stones well they were intelligent maybe that is not surely that is not bad.
Pero si vas a algo más como lo que les pasó a esas personas que fueron a la iglesia católica a misa o fueron a la boda o fueron a la primera comunión, pues allí Dios se puso celoso y Dios es celoso, eso es todo.;But if you go to something else like what happened to those people who went to the Catholic church for mass or went to the wedding or went to the first communion well there God was jealous and God is jealous that's it.
Escucho y sé de muchos lugares y sitios turísticos especialmente de la parte de la cultura indígena, ¿verdad? De los antepasados aquí en este territorio de América.;I hear and know of many places and tourist sites especially from the part of the indigenous culture right from the ancestors here in this territory of America.
Los antepasados eran los indígenas que se volvieron indígenas porque vinieron de Europa. Todos vinieron de Europa y aquí en América no había seres vivos.;The ancestors were the indigenous people who became indigenous because they came from Europe. Everyone came from Europe and here in America there were no living beings.
La gente huyó de Europa, llegó aquí a América, y como no había civilización se volvieron indígenas al seguir a los animales de la región, comían lo que los animales comían.;People fled from Europe they fled and arrived here in America and as there was no civilization they became indigenous as they followed the animals of the region they ate what the animals would eat.
Luego tuvieron que unirse y formar una civilización, eso es lo que vemos en América, en toda América, Sudamérica, Centroamérica, Norteamérica, aquí en México que también es Norteamérica.;They then had to come together and form a civilization that's what we see in America in all of America South America Central America North America here in Mexico which is also North America.
Así que la vida de esos antepasados, están las tumbas, las excavaciones, las riquezas porque también hay muchas riquezas escondidas allá.;So the life of those ancestors there are the graves the excavations the riches because there are also many hidden riches over there.
Pues entonces a la gente le gusta hacer eso y a otras personas les gusta mirar. Eso es todo. Quizás desde ese punto de vista que lo miras quizás no estás ofendiendo a Dios ni te estás corrompiendo ni dejas de creer en Dios porque miras lo que existió, miras lo que pasó.;Well then people like to do that and other people like to look that's it. Maybe from that point of view that you look at it maybe you are not offending God nor are you corrupting yourself nor do you stop believing in God because you look at what existed look at what happened.
Así que en cuanto a involucrarse en prácticas religiosas de religiones vivas, por ejemplo, que están en el momento, en cuanto a esas cosas, sí está mal, no se debe ir a eso.;So regarding being involved in religious practices of living religions for example that are there at the moment regarding those things yes it's wrong one should not go to that.
Y lo mismo con las supersticiones que tenían los antepasados, también tenían muchas supersticiones. Hasta el día de hoy hay muchas personas que todavía creen en todas esas cosas.;And the same goes with superstitions that the ancestors had they also had many superstitions. To this day there are many people who still believe in all those things.
Así que hay personas que se ponen pulseras aquí o no sé, muñequeras, se las ponen como amuleto para la buena suerte o algo en alguna parte del cuerpo, un color o vidrio, lo que sea.;So there are people who put bracelets here or I don't know wristbands they put them on as a charm for good luck or something on the part of the body a color or glass well whatever it is.
Así que la gente empieza a creer en eso para la buena suerte. Nosotros que ya conocemos a Dios sabemos que nuestra buena suerte es nuestro Dios.;So people start to believe in that for good luck. We who already know God we know that our good luck is our God.
Así que ya no necesitamos adornar nuestros cuerpos con todos esos amuletos. No necesitamos hacer eso. Dios no lo aprueba ni en su casa ni deberías tener objetos en tu casa como amuletos de buena suerte.;So we no longer need to adorn our bodies with all those amulets we don't need to do that. God does not approve of it neither in his house nor should you have objects in your house as good luck charms.
Ni pondré esto aquí en la puerta, que pondré allá las hierbas, el arbolito, la herradura o el ajo o tantas cosas.;Nor will I place this here on the door that I will place there the herbs the little tree the horseshoe or the garlic or so many things.
Hay miles de cosas, objetos que son supersticiones o amuletos que supuestamente sirven para ahuyentar a los malos espíritus.;There are thousands of things objects that are superstitions or amulets that supposedly serve to ward off evil spirits.
Nosotros ahuyentamos a los malos espíritus con la oración. Ya no necesito amuletos porque llamo a Dios y Él nos protege y nos libra de todos los malos espíritus, de la brujería, de la hechicería, de las maldiciones.;We ward off evil spirits with prayer. I no longer need amulets because I call to God and he protects us and frees us from all evil spirits from witchcraft from sorcery from curses.
Dios nos protege cuando confiamos en Él, leemos la Biblia y oramos al Señor. Por supuesto que ya no necesitamos objetos.;God protects us when we trust in him read the Bible and pray to the Lord. Of course we no longer need objects.
Y en las culturas actuales para los turistas ofrecen muchas de estas cosas, ofrecen limpiarlos de malos espíritus, malas vibras, malas influencias, y realizan limpias.;And in today's cultures for tourists they offer many of these things they offer to cleanse them of evil spirits bad vibes bad influences and that they perform cleansings.
Todo eso son supersticiones, creencias. Nosotros no, porque ya tenemos al Señor y Él es quien nos limpia y nos quita todo eso.;All of that is superstitions beliefs. Not us because we already have the Lord and he is the one who cleanses us and removes all of that.
Así que no hagamos eso. Vienen y dicen: come tal comida o bebe tal bebida que sirve para tal cosa. Nada de eso. No hagamos eso porque todo eso hace que el Señor se ponga celoso.;So let's not do that. They come and say eat such food or drink such drink that serves for such thing. None of that. Let's not do that because all that makes the Lord jealous.
Porque Dios es celoso y quiere que le demos honor y gloria solo a Él, que le alabemos solo a Él, y todo lo demás pues dejémoslo como está, dejémoslo allí como si fuera el pasado, que ya no nos sirve, que no significa nada en mi vida, en nuestra vida.;Because God is jealous and he wants us to give honor and glory only to him that we may praise only him and everything else well let's leave it as it is let's leave it there as if it's in the past that it no longer serves us it means nothing in my life in our life.
Eso no significa nada. Así que todas esas cosas que todavía tienes guardadas, porque hay personas que conozco, muchas personas que vienen a la iglesia, han estado en la iglesia a veces dicen 5, 10 años o más, y todavía tienen todos los amuletos en casa.;That means nothing. So all those things that you still have stored because there are people I know many people many people who come to the church they have been in the church for some sometimes say 5 10 years or more and they still have all the amulets at home.
El cabello del niño, el ombligo del niño, el cordón umbilical, el primer zapatito, el primer no sé qué, tienen todo y lo ponen como collar o como decoración.;The child's hair the child's belly button the umbilical cord the first little shoe the first I don't know what they have everything and they put it as a necklace or as a decoration.
Todo eso cuando haces todo eso te atas en tu vida espiritual y haces que Dios se demore mucho en darte bendiciones.;All of that when you do all of that you tie yourself down in your spiritual life and cause God to delay greatly in giving you blessings.
Así que mira en tu casa, entre tu ropa, entre tus muebles, entre todas tus pertenencias, entre toda la basura que tienes guardada, los amuletos, las creencias y las supersticiones.;So you look in your house among your clothes among your furniture among all your belongings among all the junk you have stored the amulets the beliefs and the superstitions.
Sácalos y tíralos porque eso te impide recibir las bendiciones de Dios. Olvídate de los collares que dicen que estas cosas significan algo, el color rojo o el color azul, el color verde, las semillas, que las semillitas hacen algo como no sé qué.;Take them out and throw them out because that prevents you from receiving God's blessings. Forget about the necklaces saying that these things mean something the color red or the color blue the color green the seeds that the little seeds do something as I don't know what.
Olvídate de todo eso. Puedes hacer tus propias decoraciones si quieres con semillas de árboles, pero no por superstición sino porque son hermosas.;Forget about all that. You can make your own decorations if you want with tree seeds but not for superstition but because they are beautiful.
Por ejemplo, estas semillas son tan hermosas, ese color de la semilla, voy a hacer un collar, voy a hacer algo con estas semillas porque me parecen tan hermosas, pero no por creencias supersticiosas sino como decoración en el cuerpo.;For example these seeds are so beautiful that color of the seed I'm going to make a necklace I'm going to do something with these seeds because they seem so beautiful to me but not because of superstitious beliefs but as a decoration on the body.
Pero no guardes todos esos secretitos porque si guardas todo eso la bendición del Señor también se va.;But do not keep all those little secrets because if you keep all that the Lord's blessing also departs.
También he escuchado que hay personas que vienen a la iglesia, y perdónenme por extenderme pero es necesario enseñar, hay personas que llevan mucho tiempo viniendo a la iglesia pero todavía en su casa o en su lugar de vivienda practican la brujería.;I have also heard that there are people who come to the church and forgive me for extending this but it is necessary to teach there are people who have been coming to the church for a long time but still in their house or in their dwelling place they practice witchcraft.
Practican la brujería, practican todas estas cosas, leen las cartas del tarot, adivinaciones y todo eso a lo que están acostumbrados a hacer, y luego vienen a la iglesia a pedir profecía.;They practice witchcraft they practice all these things they read tarot cards divinations and all that they are used to doing that and then they come to the church to ask for prophecy.
Dios ve todo eso pero Dios no los bendice. Seguramente el Espíritu Santo les hablará y les dirá que se arrepientan, que estén bien con Dios, pero la persona no entiende.;God sees all that but God does not bless them. Surely the holy spirit will speak to them and tell them to repent to be in good standing with God but the person does not understand.
Así que tienes que alejarte de todo eso. Ten cuidado con las bebidas, con las pociones, que está el agua de no sé qué, que la hierba de tal cosa.;So you have to stay away from all that. Be careful with the drinks with the potions that there is the water of I don't know what that the herb of such thing.
Personas diciendo: ve a la montaña y trae una hierba especial que sirve para no sé qué, pero que antes de usarla debes dar siete vueltas alrededor de la casa.;People saying go to the mountain and bring a special herb that serves for I don't know what but that before you use it you must go around the house seven times.
No, no tienes que hacer todo eso. Esas son supersticiones, creencias, amuletos, cosas innecesarias. No hagas eso porque todo eso te quita la bendición de Dios.;No you don't have to do all that. Those are superstitions beliefs amulets things that are unnecessary. Don't do that because all that takes away God's blessing.
Todo eso te quita la bendición y vivirás enfermo, enfermo, y no sanarás, y la gente dice: voy a la iglesia, pido profecía y;Dios dice que me va a sanar y no me sana.All that takes away the blessing and you will live sick sick and you will not heal and people say I go to the church I ask for prophecy and God says that he is going to heal me and he does not heal me.
Pero ¿por qué? Porque tienes esas cosas guardadas allí en tu casa, tienes todas esas cosas. Olvídate de eso.;But why? Because you have those things put away there in your home you have all those things. Forget about that.
Dios es espíritu y ve, sabe y escucha. Si simplemente lees la Biblia para aprender de Dios y para glorificar a Dios, eso es suficiente.;God is spirit and he sees knows and hears. If you simply read the Bible to learn from God and to glorify God that is enough.
Pero tienes que olvidarte de todo eso. ¿Qué más? Por ejemplo, hermano, si quiere ser más explícito para dar una explicación específica sobre algo de lo que no está seguro si es malo o bueno.;But you have to forget about all that. What else? For example brother if you want to be more explicit in order to give a specific explanation about something you are not sure whether something is bad or good.
Y si hay personas que les encanta ver las ruinas, pues van y ven las ruinas porque les fascina eso.;And if there are people who love to see the ruins well they go and see the ruins because they are fascinated by that.
No, hermana, ya lo aclaró. Era específicamente sobre sitios arqueológicos, tumbas históricas, pirámides, edificios que ya no se usan para nada hoy, que quizás hace 2,000 años sí, pero hoy son ruinas y la gente va allí por turismo, para aprender.;No sister you already clarified it. It was specifically archaeological sites historical tombs pyramids buildings that are no longer used for anything today that perhaps two thousand years ago yes but today they are ruins and people go there for tourism to learn.
Muchas gracias, hermana.;Thank you very much, sister.
