Vamos a leer el Salmo 11. Reflexionemos sobre el Salmo 11.;We are going to read Psalm 11. Let's reflect upon Psalm 11.
debemos ser como esa montaña. Confiar, confiar significa permanecer quieto, firme, porque, sí, el enemigo,;we must be like that mountain. Trusting, trusting means to remain still, steadfast, because, yes, the enemy,
él viene a echarse contra nosotros. Por eso, cuando dice,;he does come to lash out against us. So this is why, when it says,
"En el Señor confío en mí", ¿cómo puedes decirle a mi alma?;'In the Lord I put my trust,' how can you say to my soul?
¿Cómo puede mi enemigo decirme que necesito huir y esconderme?;How can my enemy say to me that I need to go flee and hide?
Versículo 2 dice: 'Porque mira, los impíos doblan su arco, preparan su flecha sobre la cuerda,;Verse 2 reads, 'For look, the wicked bends their bow, they make ready their arrow on the string,
que puedan disparar secretamente a los rectos de corazón,' significando el enemigo, nuestro enemigo, el diablo,;that they may shoot secretly at the upright in heart,' meaning the enemy, our enemy, the devil,
usando diferentes instrumentos, diferentes elementos y objetos y situaciones, el diablo los usa para atacar a los hijos de Dios,;using different instruments, different elements and objects and situations, the devil uses them to attack against the children of God,
los creyentes, los que buscan el camino del Señor. Así que el enemigo, se deshace de todo.;the believers, those who are seeking the path of the Lord. So the enemy, he lashes out with everything.
Algunos enferman y tal vez producen un accidente, otros tal vez son secuestrados,;Some he sickens and maybe produces an accident, others maybe are kidnapped,
y otros son agredidos, otros están enfermos, no tienen nada que comer o donde vivir,;and others are assaulted, others are sick, they don't have anything to eat or anywhere to live,
sin techo sobre su cabeza, sin ropa, alguien, uh, los calumnia. Hay tantas cosas, tantas situaciones que vienen,;no roof over their head, no clothes, someone, uh, slanders them. There's so many things, so many situations that come,
y eso es lo que hace el enemigo contra los que buscan a Dios.;and that's what the enemy does against those who seek God.
Cuando todo eso llegue, ¿qué debemos hacer? ¿Huir a la montaña como los pájaros?;When all of that comes, what must we do? Flee to the mountain like the birds?
Debemos permanecer firmes en el camino del Señor, confiando en Dios.;We must remain steadfast in the path of the Lord, trusting in God.
Señor, usted me ayudará, mira el peligro, mira la enfermedad o la situación que estoy viviendo,;'Lord, you will help me, look at the danger, look at the illness or the situation I'm living,
me ayudarás, Señor, me consolarás, me fortalecerás, me aconsejarás,;you will help me, Lord, you will comfort me, you will strengthen me, you will counsel me,
vendrás a mi ayuda y ayuda, me sanarás, me preservarás del peligro,;you will come to my aid and help, you will heal me, you will preserve me from danger,
vas a preservarme de tantas cosas. Así que el Señor quiere que confiemos en el Señor;you're going to preserve me from so many things.' So the Lord wants us to trust in the Lord
y rezar en ese momento, por aquí, en el momento de qué?;and to pray in that moment, over here, in the moment of what?
En el momento de la prueba y la tentación. El enemigo viene, viene contra nosotros.;In the moment of the test and temptation. The enemy comes, he comes against us.
Dice, disparar secretamente a los rectos de corazón.;It says, to shoot secretly at the upright in heart.
Versículo 3: "Si los cimientos son destruidos", ¿cuáles son los cimientos?;Verse 3: 'If the foundations are destroyed' — what are the foundations?
¿De qué estábamos hablando? Que tengamos que confiar en el Señor para que podamos ser como el Monte Sion.;What were we talking about? That we have to trust in the Lord so that we may be like Mount Zion.
Así que nuestro Dios, Él es el fundamento, Él es el fundamento.;So our God, He is the foundation, He's the foundation.
Y aquí. Dice que hay una pregunta: si los cimientos son destruidos, ¿qué pueden hacer los justos?;And here He says, there's a question: if the foundations are destroyed, what can the righteous do?
Y así, si el fundamento es destruido, entonces los justos también son destruidos.;And so, if the foundation is destroyed, well then the righteous are destroyed as well.
Si Dios no existiera, entonces no existiríamos. Si Dios no bendice;If God did not exist, well then we would not exist. If God does not bless
y proteger, entonces seríamos destruidos, estaríamos desolados por el enemigo.;and protect, well then we would be destroyed, we would be desolate by the enemy.
Entonces, ¿qué significa? Dios está con nosotros, Dios está con los que buscan Su camino.;So then what does it mean? God is with us, God is with those who seek His path.
El Señor está mirando a los hombres y mujeres que confían en Él, que creen en Él, que oran;The Lord is looking on to the men and women who trust in Him, who believe in Him, who pray
"Señor, ayúdame, porque quiero ser firme,;and call out to Him and say, 'Lord, help me, because I want to be steadfast,
porque quiero llegar al final, te amo, Señor, te alaba, Señor, quiero seguirte,;because I want to reach the end, I love you, Lord, I praise you, Lord, I want to follow you,
Señor. Así que el Señor está mirando a todos, y el Señor dice: 'Sí, te bendeciré,;Lord.' So the Lord is looking at all, and the Lord says, 'Yes, I will bless you,
Te protegeré. Pero como enemigo, quiere hacernos creer que Dios no nos oye,;I will protect you.' But as the enemy, he wants to make us believe that God does not hear us,
que Dios no nos ve, que Dios no escucha,;that God does not see us, that God is not listening,
porque eso es lo que el enemigo siempre quiere mostrarnos. Y él viene, él echa contra nosotros para tratar;because that's what the enemy always wants to show us. And he comes, he lashes out against us to try
y robar nuestra fe y nuestra confianza y todo lo que hemos obtenido en el Señor.;and steal our faith and our confidence and everything that we have obtained in the Lord.
Y por eso el Señor nos aconseja y dice: 'No, ustedes han creído en un Dios viviente y poderoso.;And this is why the Lord here counsels us and says, 'No, you have believed in a living, powerful God.
Así que confía, haz esa montaña, y nada te pasará.;So trust, become that mountain, and nothing will happen to you.
Te protegeré. Y por eso hay esta pregunta: que si se destruyen los cimientos, es decir,;I will protect you.' And so this is why there is this question: that if the foundations are destroyed — meaning,
si Dios no existiera – bueno entonces no existiríamos, o estaríamos solos sin Dios,;if God did not exist — well then we wouldn't exist either, or we would be alone without God,
sufriendo todas las consecuencias, sufriendo todas estas persecuciones y cosas que el enemigo hace contra nosotros,;suffering all of the consequences, suffering all of these persecutions and things that the enemy does against us,
y estaríamos solos. Pero ese no es el caso.;and we would be alone. But that is not the case.
Los cimientos no son destruidos, no serán destruidos.;The foundations are not destroyed, they will not be destroyed.
Los fundamentos existen porque ese fundamento es nuestro Dios. Él es el fundamento,;The foundations exist because that foundation is our God. He is the foundation,
Él es el que creó el universo, y Él es el que gobierna sobre nosotros.;He is the one who created the universe, and He is the one who rules over us.
Y así es la fundación maravillosa. Así que la pregunta,;And so that is the wonderful foundation. So the question,
y aquí está la respuesta: ahora, si se destruyen los cimientos, lo que significa que nunca sucederá, el cimiento nunca será destruido,;and here is the answer: now, if the foundations are destroyed — meaning this will never happen — the foundation will never be destroyed,
el fundamento será para la eternidad. Y en el versículo 4 hay la respuesta: el Señor, Él existe,;the foundation will be for eternity. And in verse 4 there's the answer: the Lord, He exists,
Siempre existirá. Dice: 'El Señor está en Su templo santo.';He will always exist. It says, 'The Lord is in His holy temple.'
El Señor está en Su templo santo. Dice, nuestro Señor,;The Lord is in His holy temple. It says, our Lord,
Él envió a nuestro Señor Jesucristo para formar Su templo, Su tabernáculo, Su iglesia, Su pueblo,;He sent our Lord Jesus Christ to form His temple, His tabernacle, His church, His people,
para formar esa Sion espiritual, esa Jerusalén espiritual, y que los corazones de estos hombres;to form that spiritual Zion, that spiritual Jerusalem, and that the hearts of these men
y las mujeres que aman a Dios, que se convierten en hijos de Dios, son el templo del Señor.;and women who love God, who become children of God, they are the temple of the Lord.
Así que está allí, cerca. Versículo 4: El Señor, Él existe, Él está en Su templo santo.;So He is there, close by. Verse 4: the Lord, He does exist, He is in His holy temple.
El trono del Señor está en el cielo, Sus ojos miran, Sus párpados prueban a los hijos de los hombres,;The Lord's throne is in heaven, His eyes behold, His eyelids test the sons of men,
y principalmente Él prueba Sus hijos, Sus creyentes y seguidores.;and mainly He tests His children, His believers and followers.
Gloria a nuestro Dios. Los cimientos — existen, los cimientos no han sido destruidos,;Glory to our God. The foundations — they do exist, the foundations have not been destroyed,
aunque eso es lo que el enemigo quiere hacernos creer;although that is what the enemy wants to make us believe
y quiere que perdamos el corazón, que nos desanimemos y perdamos nuestra fe;and wants us to lose heart, that we become discouraged and lose our faith
y perder nuestra confianza en Dios. Eso es lo que busca el diablo.;and lose our trust in God. That is what the devil seeks.
Pero no lo alcanzará, porque nosotros, con la ayuda de nuestro Dios —;But he will not attain it, because we, with the help of our God —
y Él es el fundamento — bueno entonces continuaremos, firmes, firmes en los caminos del Señor.;and He is the foundation — well then we will continue on, steadfast, steadfast in the ways of the Lord.
Versículo 5: El Señor prueba a los justos, sí, Él los prueba.;Verse 5: the Lord tests the righteous, yes, He does, He tests them.
Él permite que esta persona justa sea probada de una manera u otra, Dios lo permite, porque dice,;He allows this righteous person to be tested in one way or another, God allows it, because it says,
cuando el justo es probado, hay una gran bendición que llega, porque esta persona supera todo;when the righteous is tested, there is a great blessing that arrives, because this person overcomes everything
y es firme, así que siguen adelante. Y cuando los peligros pasan, cuando todo pasa,;and is steadfast, so they continue onward. And when the dangers pass, when everything passes,
Dios comienza a bendecir a esta persona, la persona justa. Así que el Señor, Él prueba a los justos, sí, pero el impío;God begins to bless this person, the righteous person. So the Lord, He tests the righteous, yes, but the wicked
y el que ama la violencia — Su alma odia.;and the one who loves violence — His soul hates.
Así que el Señor, Él odia la violencia y la maldad — que los hombres;So the Lord, He hates violence and the wickedness — that men
y las mujeres que son obstinadas e ignorantes, que no quieren escuchar la palabra del Señor;and women who are stubborn and ignorant, who did not want to heed the word of the Lord
y seguir Su camino, pero más bien quería seguir ese camino de maldad.;and follow His path, but rather wanted to follow down that path of wickedness.
Así que el Señor odia todo eso, y de cierta manera Él odia todos los pecados de estas personas,;So the Lord hates all of that, and in a certain way He hates all of the sins of these people,
el Señor odia incluso a esa misma persona que está cometiendo estas cosas malas.;the Lord hates even that same person who is committing these evil things.
Por eso debemos luchar para seguir adelante, siempre firmes,;So this is why we — we must fight to continue forward, always steadfast,
y nuestro Dios, nuestro Señor, nos ayudará a cambiar, a eliminar debilidades, pecados y errores.;and our God, our Lord, will help us to change, to remove weaknesses, sins and errors.
Él nos ayudará a vivir una vida santa y justa;He will help us to live a holy, upright life
y caminar el camino perfecto para agradarle. Él nos ayudará,;and to walk the perfect path to please Him. He will help us,
porque nuestro corazón debe ser muy sincero con Él. Eso es.;because our heart should be very sincere with Him. That's it.
Así que dice, versículo 6, "Abajo el impío, llovirá carbón.";So it says, verse 6, 'Upon the wicked He will rain coals,'
y esto es triste: fuego y azufre y un viento ardiente será la parte de su copa,;and this is sad: fire and brimstone and a burning wind shall be the portion of their cup,
de todos los que, por rebelión, dureza de corazón, incredulidad, siguen el camino del mal,;of all of those who, out of rebellion, hardness of heart, disbelief, they continue to follow the path of evil,
y eso es muy triste. Y el Señor nos protegerá de eso;and that is very sad. And will the Lord protect us from that
¿Y todas esas cosas? Versículo 7: Porque el Señor es justo, ama la justicia,;and all of those things? Verse 7: 'For the Lord is righteous, He loves righteousness,
y una persona que es justa", dice aquí, "Su rostro mira a los rectos"?;and a person that is righteous' — it says here, 'His countenance beholds the upright.'?
Y ahora, viendo el rostro del Señor, no es algo literal, no significa que con nuestros ojos físicos,;And now, seeing the countenance of the Lord, it's not something literal, it doesn't mean that with our physical eyes,
con nuestros cuerpos físicos, veremos al Señor. No.;with our physical bodies, we will see the Lord. No.
Vamos a ver Sus maravillas, Sus milagros, Sus obras.;We're going to see His wonders, His miracles, His deeds.
Vemos todas las cosas que Dios hace por las personas, todas las cosas que Dios muestra: las visiones, los sueños, la profecía,;We see all the things that God does for people, all the things God shows: the visions, the dreams, prophecy,
promesas, y la gente está enferma, y Dios los sana, les da más tiempo para vivir, otra oportunidad para vivir.;promises, and people are ill, and God heals them, gives them more time to live, another opportunity to live.
Y así, como esta noche, el Señor había hablado de alguien que iba a dar más tiempo,;And so, like tonight, the Lord had spoke about someone who He was going to give more time,
otra oportunidad de vivir. Y así es, hermanos y hermanas: bendito es el Señor, bendito es el Señor,;another opportunity to live. And so that's it, brothers and sisters: blessed is the Lord, blessed is the Lord,
porque la vida está en manos de Dios, la muerte también está en manos de Dios, bendiciones — todo está en manos de Dios.;because life is in God's hands, death is also in God's hands, blessings — everything is in God's hands.
Pero nosotros, si somos buenos hijos, recibiremos todo el bien de Él, todo lo mejor.;But we, if we are good children, we will receive all the good from Him, all the best.
Y así espero y deseo que el Señor te dé lo mejor, que Dios te bendiga,;And so I hope and desire that the Lord give you the best, that God bless you,
y que triunfas, que triunfas en tu vida espiritual, tú.;and that you triumph, that you triumph in your spiritual life, you.
