Hermana, sé que debemos saber esperar el tiempo de Dios, pero me gustaría que me enseñara.;Sister, I know we must know how to wait for God's time, but I would like you to teach me.
Tengo que orar y confiar en que Dios me ayudará a resolver el problema, que me dará la victoria.;I have to pray and trust that God will help me resolve the issue, that he will give me victory.
Y no nos sentemos sin hacer nada, esperando la promesa, esperando las promesas que Dios me ha hecho.;And let us not sit idly by, waiting for the promise, waiting for the promises that God has made to me.
Las promesas que Dios nos hace son muchas y diferentes. Nos hace promesas sobre la vida espiritual.;The promises God makes us are many and different. He makes us promises about spiritual life.
Y promesas sobre las cosas materiales en la vida. A veces nos habla de viajes o de comprar bienes raíces.;And promises about material things in life. He sometimes speaks to us about travel or buying real estate.
De tener casas, o de un viaje o un auto, ¿verdad?;Owning homes, or about a trip or a car, right?
Muy bien, Dios nos habla de mudarnos, de reubicarnos en otro país. Nos habla de estas cosas.;All right, God speaks to us about moving, about relocating to another country. He talks to us about these things.
Pero Dios también nos habla de las cosas espirituales y nos habla de los dones espirituales.;But God also speaks to us about the spiritual things and talks to us about the spiritual gifts.
Que vamos a servirle, que nos apoyará, que estaremos predicando, que estaremos enseñando.;That we are going to serve him, that he will support us, that we will be preaching, that we will be teaching.
Así que prestemos mucha atención a esas promesas sobre la vida espiritual.;So, let us pay close attention to those promises about spiritual life.
Anhelémoslas con todo nuestro corazón, buscándolas siempre leyendo, orando, siendo constantes.;Let us long for them with all our hearts, always seeking them by reading, praying, being consistent.
En cuanto a las otras promesas, dejemos que Dios las cumpla en su tiempo y no hay necesidad de desesperarse.;As for the other promises, let God fulfill them in his time and there is no need to grow desperate.
Por supuesto, hay dificultades. Por ejemplo, en las familias, en los matrimonios, en las parejas donde hay mucha dificultad.;Of course, there are difficulties. For example, in families, in marriages, in couples where there is a lot of difficulty.
Ya sea que sea ella quien está desesperada porque su esposo la abandona o va a divorciarse o no cumple con sus obligaciones.;Whether it is she who is desperate because her husband abandons her or is going to divorce or doesn't fulfill his obligations.
Ella se frustra y quiere que ese problema se resuelva rápidamente.;She becomes frustrated and wants that problem to be solved quickly.
O viceversa, también hay casos donde es el esposo quien sufre por el abandono, la infidelidad o el engaño de ella.;Or vice versa, there are also cases where it is the husband who is suffering from abandonment, her unfaithfulness or deceit.
Así que la persona viene, Dios les habla, hace promesas y quieren que se cumpla para mañana, para la próxima semana.;So, the person comes, God speaks to them, makes promises and they want it to be fulfilled by tomorrow, by next week.
Por lo tanto, la gente se desespera. Se ponen ansiosos porque no sucede de inmediato.;Therefore, people grow desperate. They get anxious because it doesn't happen immediately.
Porque las cosas no son como quieren que sean.;Because things are not as they want them to be.
En respuesta a eso, debemos orar y pedirle a Dios y creer en Dios.;In response to that, we must pray and ask God and believe in God.
Y entregar ese asunto, ese problema o dificultad en las manos del Señor.;And surrender that issue, that problem or difficulty into the Lord's hands.
Mientras tanto, seamos diligentes. Hagamos todo lo que esté a nuestro alcance para tratar de resolver las cosas.;Meanwhile, let us be diligent. Let's do everything within our reach to try to solve things.
Y por lo demás, dejemos que Dios actúe.;And for the rest, let God act.
Pero no necesitamos llenarnos de desesperación, angustia, perder la fe, desanimarnos o perder credibilidad en Dios.;But we don't need to be filled with despair, anguish, lose faith, become discouraged, or lose credibility in God.
Porque a Dios no le gusta esto. Seamos constantes y confiemos en que si Dios nos dice: "Y yo protegeré tu vida.";Because God does not like this. Let us be consistent and trust that if God says to us, "And I will protect your life."
Entonces sí, Señor, tú protegerás mi vida.;Then yes, Lord, you will protect my life.
Y alguien dice: "Oh, no vayas por ese camino porque allá dicen que cuando pases te quitarán la vida.";And someone says, "Oh, don't go that way because over there they say when you pass they will take your life."
Así que digo: "Muy bien." Me asusto, me pongo ansioso, me desespero.;So, I say, "All right." I get scared, I grow anxious, I grow desperate.
E inmediatamente me vuelvo loco porque no, me van a quitar la vida.;And immediately I go crazy because no, they are going to take my life.
Cuando actúo de esa manera, estoy dudando de Dios.;When I act that way, I'm doubting God.
Así que lo que hago en cambio es: "Oh, bueno, no voy a ir por ese camino de nuevo. Iré por otro camino.";So, what I do instead is, "Oh, well, I won't go that way again. I'll go another way."
"Y confiaré en Dios porque Dios no me ha dicho que la gente me quitará la vida.";And trust in God because God hasn't told me that people will take my life.
"Él es quien tomará mi vida. Es Dios y no una persona.";He is the one who will take my life. It is God and not a person.
"Y él me ha dicho que me guardará y me protegerá, así que creeré.";And he has told me that he will keep me and protect me, so I will believe.
Mientras tanto, bueno, no paso por ese lugar donde dicen que hay peligro, tomo otra ruta.;In the meantime, well, I don't go through that place where they say there's danger, I take another route.
Soy prudente y hago las cosas de otra manera, pero confío en Dios.;I'm prudent and do things another way, but I trust in God.
Confío en la promesa que el Señor me ha hecho de que estará conmigo y me mantendrá seguro.;I trust in the promise the Lord has made to me that he will be with me and keep me safe.
Pero cuando nos falta confianza, a Dios no le gusta eso.;But when we lack trust, God does not like that.
Y generalmente, la desconfianza viene, se pierde la fe, hay dudas, hay miedos.;And generally, distrust comes, faith is lost, there are doubts, there are fears.
Porque la persona en el momento de la tribulación olvida que tenía fe y creía en Dios.;Because the person at the moment of tribulation forgets that they had faith and believed in God.
Y por eso Dios prueba a las personas. Dice que confía en mí. Ella dice que confía en mí.;And that is why God tests people. He says he trusts in me. She says she trusts in me.
Que tienen fe y creen. Les daré una prueba para ver si no creen en mí.;That they have faith and believe. I will give them a test to see if they don't believe in me.
Si no confían en mí, si se desesperan, si pierden la cabeza, a Dios no le gusta eso.;If they don't trust in me, if they grow desperate, if they lose their mind, God does not like that.
Y eso es lo que continuamente sucede en la vida diaria de los creyentes.;And that is what continuously happens in the daily life of believers.
Porque no aprenden a confiar en Dios, a orar a Dios y a dejar el problema a Dios para que les ayude a resolverlo.;Because they do not learn to trust in God, to pray to God, and to leave the problem to God so that he can help them solve it.
Pero en cambio, la persona comienza a dejarse llenar de nervios, ansiedad, miedos y dudas, y a Dios no le gusta eso.;But instead, the person begins to let themselves be filled with nerves, anxiety, fears, and doubts, and God does not like that.
Por lo tanto, si queremos que Dios cumpla sus promesas en nuestras vidas, debemos confiar, creer, no desesperarnos, no dudar.;Therefore, if we want God to fulfill his promises in our lives, we must trust, believe, not grow desperate, not doubt.
Sino seguir adelante y esperar el tiempo de Dios.;But press on and wait for God's time.
Mientras tanto, seamos diligentes en nuestras vidas y hagamos lo mejor para que todo vaya y funcione bien.;In the meantime, let's be diligent in our lives and do our best so that everything goes and works well.
Si no tengo trabajo, entonces no puedo dejarme morir de hambre porque no tengo trabajo.;If I don't have a job, then I can't let myself starve because I don't have work.
Y Dios me prometió que trabajaré en una empresa multinacional ganando mucho dinero.;And God promised me that I will work in a multinational company earning a lot of money.
Y aquí estoy muriendo de hambre, y la empresa multinacional no me ha llamado para trabajar.;And here I am starving, and the multinational company hasn't called me to work.
No, mientras tanto, Dios me dijo que trabajaré en una empresa multinacional.;No, in the meantime, God told me that I will work in a multinational company.
Pero mientras tanto, voy a hacer algo. Limpiaré pisos, lavaré ropa, o plancharé, o iré al mercado.;But in the meantime, I'm going to do something. I'll clean floors, wash clothes, or iron, or go to the market.
O cargaré comestibles, o haré muchas cosas.;Or carry groceries, or do many things.
Haré estas cosas mientras espero la promesa de que la empresa multinacional me llame para trabajar.;I'll do these while I wait for the promise that the multinational company will call me to work.
Así que voy a hacer algo que sé hacer, pero voy a actuar mientras tanto porque no puedo morir de hambre.;So, I am going to do something that I know how to do, but I am going to take action in the meantime because I can't die of hunger.
No puedo dejar que mis hijos pasen hambre. Tengo que hacer algo.;I can't let my children starve. I have to do something.
Así que tengo que hablar con la gente. ¿Necesitas a alguien? ¿Necesitas a alguien para cuidar a una persona mayor?;So, I have to talk to people. Do you need someone? Do you need someone to take care of an elderly person?
¿Para cuidar a un enfermo? ¿Para cuidar a niños? Estoy aquí listo para hacerlo.;To take care of a sick person? To take care of children? I am here ready to do it.
Mientras espero la llamada de la multinacional que Dios me prometió.;While I wait for the call from the multinational that God promised me.
Y así es entonces. Dios ve que somos diligentes.;And that's how it is then. God sees that we are diligent.
Pero si me siento allí esperando que me llamen, y mientras tanto, el alquiler y la comida y todo comienza a acumularse sobre mí.;But if I just sit there waiting for them to call me, and meanwhile, the rent and the food and everything starts piling up on me.
Nunca voy a progresar porque Dios ve que no estoy siendo diligente.;I'm never going to make progress because God sees that I am not being diligent.
Debemos ser diligentes y trabajar en lo que esté disponible.;We must be diligent and work in whatever is available.
Algunas personas solo quieren trabajar en una oficina detrás de las computadoras, como las llaman aquí.;Some people only want to work in an office behind the computers, as they call them here.
Y dicen: "No, porque estudié, ese es el trabajo que voy a hacer.";And they say, "No, because I studied, that's the job I'm going to do."
Y como nunca encuentran un trabajo así, se quedan debiendo dinero, alquiler, pidiendo dinero prestado, llenos de deudas.;And since they never find a job like that, they're left owing money, rent, borrowing money, full of debts.
¿Por qué no? Porque tengo que estar en la oficina escribiendo, ¿verdad? Ese es mi trabajo. ¿Verdad?;Why not? Because I have to be in the office typing, right? Writing. That's my job. Right?
Y se les pueden ofrecer otros trabajos, desempeñando otros roles, jardinería. Bueno, hay tantas cosas. No, no, no, eso no puede ser.;And other jobs can be offered to them, performing other roles, gardening. Well, so many things there are. No, no, no, that cannot be.
Estoy aquí y le debo dinero a mucha gente y pido dinero para mis gastos de vida.;I'm here and I owe money to many people and I ask for money for my living expenses.
Pero hasta que esté allí en la oficina, no.;But until I'm there in the office, I won't.
Así les pasa a las personas porque se vuelven codiciosas, orgullosas, porque eso también es orgullo.;That's how it happens to people because they become greedy, prideful, because that's pride, too.
Vanidad de no trabajar en nada más mientras tanto, haciendo lo que sea, cualquier trabajo.;Vanity of not working in anything else in the meantime, doing whatever, any job.
Y aquí estoy esperando las promesas de Dios, ¿verdad? ¿Ves que Dios me prometió tantas cosas?;And here I am waiting for God's promises, right? Do you see that God promised me so many things?
Una hermana me dijo: "Dios me prometió que me va a bendecir y que voy a tener mucho dinero.";A sister told me, "God promised me that he's going to bless me and that I will have a lot of money."
"Pero por ahora, bueno, no estoy haciendo nada porque estoy esperando la promesa de Dios.";But for now, well, I'm not doing anything because I'm waiting for God's promise.
"Debo $15,000 en alquiler, en impuestos de la casa. Le debo a la administración, que son $8,000.";I owe $15,000 in rent, in house taxes. I owe the administration, which is $8,000.
"Le debo a un montón de personas dinero que me prestaron para comer.";I owe a bunch of people money that they lent me to eat.
Muy bien. Eso sumó unos 20 o 30,000 dólares la deuda.;All right. That totaled up to about 20 or 30,000 dollars, the debt did.
Le dije: "¿Pero por qué no vas a trabajar en algo mientras tanto?";I said to her, "But why don't you go work at anything in the meantime?"
Ella dice: "No, no, no, porque Dios me prometió. Es que Dios me prometió que me va a dar un trabajo.";She says, "No, no, no, because God promised me. It's that God promised me he's going to give me a job."
"Y que voy a tener mucho dinero y eso es lo que estoy esperando, tener mucho dinero.";And that I'm going to have a lot of money and that's what I'm waiting for, to have a lot of money.
Y ahora está endeudada porque le dijeron: "Haz algo mientras tanto o vende o alquila esa casa.";And now she's in debt because she was told, "Do something in the meantime or sell or rent that house."
"Haz algo, ¿pero por qué tienes que vivir sola en una casa tan grande?";Do something, but why do you have to live alone in such a big house?
Así que dejándola a su capricho, veamos hasta dónde llegará cuando se lo lleven y confisquen todo.;So, leaving her to her whim, let's see how far it'll go when they take and seize everything.
Entonces seguramente cambiará de opinión sobre la promesa que dice que Dios le dijo.;Then surely she will change her mind about the promise she says God told her.
Así que, hermanos y hermanas, necesitamos ser realistas, ser prácticos, ser diligentes, actuar con sabiduría.;So, brothers and sisters, we need to be realistic, be practical, be diligent, act wisely.
Y aplicar la lógica a todas las cosas y todas las situaciones en nuestras vidas.;And apply logic to all things and all situations in our lives.
Aplica la lógica a todo. Así que la gente no debería empezar a llorar o sentirse triste.;Apply logic to everything. So, people shouldn't start crying or feeling sad.
Porque dicen: "Dios me prometió y no lo ha cumplido." No es así.;Because they say, "God promised me and hasn't fulfilled it." It's not like that.
Es porque no hemos entendido, no hemos comprendido la palabra de Dios, el plan de Dios.;It's because we haven't understood, we haven't comprehended God's word, God's plan.
Y nos volvemos perezosos dependientes, o dependientes, o viviendo de otros con préstamos y todo.;And we become lazy reliant, or dependent, or living off others with loans and everything.
Porque estoy esperando las promesas. No, seamos diligentes porque Dios nos dio salud, manos, piernas, un cuerpo.;Because I'm waiting for the promises. No, let us be diligent because God gave us health, hands, legs, a body.
Nos dio todo para que podamos trabajar, para que podamos luchar.;He gave us everything so that we can work, so that we can fight.
Y Dios, el día que quiera darnos bendiciones materiales, nos las dará inesperadamente.;And God, the day he wants to give us material blessings, will give them to us unexpectedly.
No mientras nos sentamos aquí tranquilamente esperando esa promesa.;Not while we sit here quietly waiting for that promise.
Actuemos con diligencia, hagamos algo, inventemos algo, pero debemos seguir avanzando y continuar en el Señor.;Let us act with diligence, do something, invent something, but we must keep moving forward and continue in the Lord.
Eso es lo que debemos hacer, y las promesas de Dios vendrán.;That is what we must do, and God's promises will come.
Mira, incluso ahora, después de 40 años en mi vida, promesas que Dios me hizo hace más de 40 años se han cumplido.;Look, even now, after 40 years in my life, promises that God made to me more than 40 years ago have been fulfilled.
E incluso ahora he visto promesas que todavía se están cumpliendo.;And even now I've seen promises still being fulfilled.
Pero nunca me desesperé. En cambio, con mucha alegría y olvidándome de todo eso, seguí al Señor.;But I never grew desperate. Instead, with much joy and forgetting about all of that, I followed the Lord.
Incluso pensé que quizás el Señor lo había olvidado. Yo de hecho lo había olvidado.;I even thought that maybe the Lord had forgotten about it. I had indeed forgotten.
Y cuando el Señor me sorprende y los cumple, entonces digo: "Mira, el Señor ya me había dicho hace más de 40 años que viviría esta situación.";And when the Lord surprises me and fulfills them, then I say, "Look, the Lord had already told me more than 40 years ago that I would live this situation."
Gracias al Señor. Él no olvida, pero nosotros sí.;Thanks to the Lord. He doesn't forget, but we do.
Muy bien, no pongamos nuestro corazón en las cosas materiales de la vida. Pongamos nuestro corazón en Dios, en agradar a Dios.;All right, let's not set our hearts on material things in life. Let's set our hearts on God, on pleasing God.
Y Dios se encargará del resto en cada una de nuestras vidas.;And God will take care of the rest in each of our lives.
