Hermana, buenas noches. Dios la bendiga. Quería hacer una pregunta sobre la Biblia.;Sister, good evening. God bless you. I wanted to ask a question about the Bible.
Un líder es una persona que nace con ese don, esa dotación, esa habilidad. Dios es quien los hace.;A leader is a person who is born with that gift, that endowment, that ability. God is the one who makes them.
Puedes darle a alguien algunos consejos. Decirles que si quieren liderar un grupo, necesitan cumplir ciertas condiciones.;You can give someone some advice. Tell them that if they want to lead a group, they need to meet certain conditions.
Pero eso no los hace líderes.;But that doesn't make them a leader.
Dios es quien nombra a las personas y les da dones espirituales, ya sea a mujeres o a hombres.;God is the one who appoints people and gives them spiritual gifts, whether to women or men.
Les dice y los equipa: "Vas a ser profeta o evangelista o maestro.";He tells them and equips them, "You're going to be a prophet or an evangelist or a teacher."
Esas personas emergen con los dones que Dios les ha dado.;Those people emerge with the gifts God has given them.
Pero hoy en muchas denominaciones, las personas son nombradas por hombres. "Eres un apóstol", dicen.;But today in many denominations, people are appointed by men. "You are an apostle," they say.
Dándoles el título cuando no tienen nada de apóstol. El don de ser apóstol lo da Dios, no el hombre.;Giving them the title when they have nothing of an apostle. The gift of being an apostle is given by God, not man.
Y cuando los hombres lo hacen, todo sale mal.;And when men do it, everything turns out wrong.
Al cambiar frases y vocabulario, distorsionan el pensamiento de la gente.;By changing phrases and vocabulary, they distort people's thinking.
Simplemente no uses esa Biblia. Usa la que el Señor nos reveló, la Reina Valera de 1960 en español.;Simply don't use that Bible. Use the one the Lord revealed to us, the Reina Valera of 1960 in Spanish.
Y la Nueva Versión King James en inglés.;And the New King James Version in English.
El Señor le dio esa revelación a algunas hermanas, diciéndoles que esa era la Biblia que debíamos usar.;The Lord gave that revelation to some sisters, telling them that was the Bible we should use.
No vamos a comprar estas Biblias modernas con su lenguaje alterado porque los seres humanos están cambiando la palabra de Dios.;We're not going to buy these modern Bibles with their altered language because human beings are changing God's word.
Y quitando el significado de las frases.;And taking away the meaning of the phrases.
Cuando hacen eso, causan contradicciones. Cambian un versículo aquí, pero más adelante o antes aparece el mismo tema.;When they do that, they cause contradictions. They change a verse here, but later on or earlier the same topic appears.
Y la enseñanza es diferente. Así que termina contradiciéndose a sí mismo.;And the teaching is different. So, it ends up contradicting itself.
No creo que el Señor permita que las traducciones modernas demasiado simplificadas se desvíen del verdadero significado de su palabra.;I don't believe the Lord will allow modern overly simplified translations to deviate from the true meaning of his word.
Porque él ha dicho siempre que su iglesia crecerá. Su palabra alcanzará su objetivo y el mundo será evangelizado.;Because he has always said that his church will grow. His word will reach its goal and the world will be evangelized.
Esas nuevas Biblias fracasarán. A la gente no le gustarán y dejarán de comprarlas.;Those new Bibles will fail. People won't like them and they'll stop buying them.
Debemos seguir con la Biblia que siempre hemos leído porque a través de ella hemos recibido dones espirituales, las promesas de Dios, milagros y señales.;We should stick to the Bible we've always read because through it we have received spiritual gifts, God's promises, miracles, and signs.
Mientras tanto, las iglesias que usan estas Biblias modernas carecen de la presencia de Dios. Él no se manifiesta allí.;Meanwhile, churches that use these modern Bibles lack God's presence. He doesn't manifest himself there.
Esa es la señal que debemos buscar. ¿Habla Dios en tu iglesia? ¿Hace milagros y señales? ¿Te da paz?;That's the sign we should look for. Does God speak in your church? Does he perform miracles and signs? Does he give you peace?
Si no, estás en el camino equivocado.;If not, you're on the wrong path.
Así que descartemos esas versiones modernas y sigamos leyendo la Biblia que siempre hemos tenido. No hay necesidad de debatir.;So, let's discard those modern versions and continue reading the Bible we've always had. There's no need to debate.
¿Por qué discutir con personas necias, rebeldes e incrédulas que no aceptarán nada?;Why argue with foolish, rebellious, unbelieving people who won't accept anything?
Evita los debates. Si son amigos que te importan, simplemente di: "En la iglesia a la que asisto, Dios se manifiesta.";Avoid debates. If these are friends you care about, simply say, "In the church I attend, God manifests himself."
"Hay milagros. Hay señales. Dios da paz y felicidad. Habla a través de los dones espirituales.";There are miracles. There are signs. God gives peace and happiness. He speaks through the spiritual gifts.
"Es una experiencia maravillosa. Te invito a venir un día y experimentarlo por ti mismo.";It's a wonderful experience. I invite you to come one day and experience it for yourself.
"No te estoy diciendo que dejes tu iglesia, sino que vengas y sientas algo diferente. La presencia de Dios.";I'm not telling you to leave your church, but to come and feel something different. The presence of God.
Eso es suficiente. Sin debates, sin argumentos.;That's enough. No debates, no arguments.
