Hermana Maria Louisa, tengo una pregunta sobre la Biblia si me permites.;Sister Maria Louisa, I have a question about the Bible if you allow me.
Él oró y el padre no quería responderle en este momento.;He prayed and the father did not want to answer him at the moment.
Pero eso no significa que no continuemos firmes.;But that does not mean that we do not continue steadfast.
Debemos persistir con nuestras oraciones a Dios porque algún día Dios se cansa de escucharnos;We must persist with our prayers to God because someday God will get tired of hearing us
y nos responderá. Él responderá. Nos ayudará.;and he will answer us. He will respond. He will help us.
Pero no debemos desanimarnos. No debemos desmayar.;But we must not be discouraged. We must not faint.
Debemos seguir preguntando a Dios siempre y nunca decir: "Señor, me escondiste.;We must continue asking God always and never say, 'Lord, you hid from me.
Me ignoras. No me escuchas. Sigue orando.;You ignore me. You do not listen to me. Keep praying.
Sigue preguntando al Señor. Y en el momento menos esperado, bueno, Dios tendrá misericordia;Keep asking the Lord.' And at the least expected moment, well, God will have mercy
y nos escuchará. Pero no seamos desalentados. Debemos seguir adelante.;and will hear us. But let's not be discouraged. We must press on.
Debemos ser valientes. Debemos ser fuertes. Debemos leer los Salmos mucho porque en los Salmos,;We must be courageous. We must be strong. We must read the Psalms a lot because in the Psalms,
aprendemos mucha doctrina. Venimos a conocer a Dios.;we learn so much doctrine. We come to know God.
Aprendemos a rezar. Aprendemos a alabar a Dios. Así que debemos seguir adelante.;We learn to pray. We learn to praise God. So we must press on.
